M-AILABS_pol_000244	lalka_1_08_f000126	Zkąd ona wie - myślał dalej - że ja kupiłem serwis i srebra?
M-AILABS_pol_000592	lalka_2_18_f000030	Nic nie przykuwało jego uwagi nie przyśpieszało bicia serca nie pobudzało go do czynów.
M-AILABS_pol_000593	saragossie_07_f000054	Każ pan zakończyć te męczarnie albo pamiętaj że niejednego zamordowałem który wart był dziesięciu takich jak ty.
M-AILABS_pol_000594	lalka_1_04_f000210	Chodźmy do sklepu - rzekł Ignacy. - Bywają rozmowy po których dobrze jest mówić o interesach.
M-AILABS_pol_000595	saragossie_35_f000066	Senor don Lopez odmówiłem dwadzieścia zaproszeń i przychodzę do ciebie. Oświadczyłem ci już że jestem zupełnie oddany na twoje usługi!
M-AILABS_pol_000596	saragossie_14_f000197	Poszedłem za nim i starając się zebrać moje zmysły opowiedziałem mu wszystko com widział tej nocy. Gdy skończyłem powieść przeor rzekł:
M-AILABS_pol_000597	saragossie_03_f000136	Zastałem oberżystę i moich służących wielce o mnie zakłopotanych.
M-AILABS_pol_000598	lalka_1_05_f000101	- rodzinę złożoną z ojca bardzo otyłej matki i czworga dzieci parami trzymających się za ręce - eleganta niższej sfery który jechał dorożką i rozpierał się w sposób bardzo zabawny - czasem pogrzeb.
M-AILABS_pol_000599	saragossie_27_f000104	Nazajutrz zasiadł w konfesjonale ale nikt się nie pokazał toż samo i następnego dnia.
M-AILABS_pol_000600	saragossie_32_f000178	Jest i ja się w nim już znajduję - odrzekł tenże sam głos po czym usłyszeliśmy długi bolesny jęk.
M-AILABS_pol_000601	lalka_3_15_f000085	Wtedy odrzucił ilustracye i zaczął czytać książki znane mu jeszcze z epoki dzieciństwa albo z piwnicy Hopfera.
M-AILABS_pol_000602	lalka_3_01_f000047	nie odznacza się obywatelskiemi cnotami.
M-AILABS_pol_000603	saragossie_67_f000013	Pomimo to odważnie postępowałeś dalej aż do Venta Quemada gdzie zastałeś twoje kuzynki: ale za pomocą usypiającego napoju nazajutrz obudziłeś się pod szubienicą braci Zota.
M-AILABS_pol_000604	saragossie_02_f000172	Ojcem naszym jest Jazir Gomelez wuj deja panującego dziś w Tunisie.
M-AILABS_pol_000605	lalka_2_27_f000074	Opowiedzcie ją - nalegała panna Izabela. - Między ruinami bardzo lubię słuchać legend. Nad Renem pełno tego.
M-AILABS_pol_000606	lalka_1_07_f000107	Nic nie wiem - pochwyciła gorączkowo panna Izabela - ale wszystko przeczuwam wszystko rozumiem... Ten człowiek chce się zbliżyć do nas.
M-AILABS_pol_000607	lalka_1_06_f000072	Ciotka lubi być cierpką ale umie oszczędzać nieszczęście. Gdyby wam groziła ruina znaleźlibyście w niej tkliwą i delikatną pocieszycielkę.
M-AILABS_pol_000608	lalka_2_19_f000183	Przyjdź do mnie obejrzyj co jest sam zrób kilka doświadczeń a przekonasz się. Innego sposobu nie widzę - odparł Geist.
M-AILABS_pol_000609	lalka_2_06_f000021	Jaki zły los postawił cię na drodze pewnej szlachetnej damy której o mało nie zabiłeś męża a dziś chcesz jej wydrzeć dom gdzie zmarła jej ukochana córka?
M-AILABS_pol_000610	lalka_1_04_f000087	I tylko po to jeździłeś tam? - zapytał Ignacy.
M-AILABS_pol_000611	saragossie_03_f000103	Z łatwością obszedłem się bez ich pomocy miałem bowiem zwyczaj sam się rozbierać wszelako przekonałem się że bardziej troszczyli się o mnie aniżeli sobie na to zasługiwałem swym postępowaniem:
M-AILABS_pol_000612	lalka_3_20_f000160	- Jakto?... Czyliż wyraźnie nie zaprosiłam pana na wieś?... Ale mniejsza policzę to na karb pańskiej ekscentryczności... Drogi panie mam do pana bardzo ważny interes.
M-AILABS_pol_000613	saragossie_23_f000007	Wnet dwór jął naśladować królewską parę miasto naśladowało dwór następnie cały kraj poszedł za miastem tak że wkrótce Egipt stał się wielką widownią wszeteczeństwa.
M-AILABS_pol_000614	lalka_2_08_f000133	Teraz Wokulski wyglądał na apoplektyka ale milczał.
M-AILABS_pol_000615	saragossie_13_f000038	Posunął nawet pobłażanie do dania mu rady. ażeby poszedł na komedię.
M-AILABS_pol_000616	saragossie_63_f000079	Szczupłość przestrzeni rozjątrzała jeszcze wzajemne niesnaski.
M-AILABS_pol_000617	lalka_2_05_f000152	bardzo pewnym przeszedł całą sień czując że jego cylinder siedzi mu trochę na bakier ale tylko troszeczkę.
M-AILABS_pol_000618	lalka_3_02_f000025	Istotnie w tej chwili wszedł do sklepu człeczyna w starem futrze wypłowiałym cylindrze i ogromnych kaloszach.
M-AILABS_pol_000619	saragossie_29_f000195	Do tego stopnia posuwał ostrożność że w Radzie zdawał się nigdy nie mieć własnego zdania i szedł za cudzym tymczasem koledzy przemawiali jego własnymi słowy.
M-AILABS_pol_000620	lalka_3_19_f000145	- Walkę?... - powtórzył śmiejąc się Wokulski.
M-AILABS_pol_000621	lalka_1_15_f000044	I tyle. Spojrzałem na bilet czytam: Wiljam Colins nauczyciel języka angielskiego... Cóż to za farsa?... Przecie chyba Wokulski nie będzie uczył się poangielsku?
M-AILABS_pol_000622	lalka_1_11_f000116	I to wszystko robi się nie przez pobożność ani przez miłość do dzieci ale dla rozgłosu i w celu wyjścia zamąż - pomyślał Wokulski.
M-AILABS_pol_000623	lalka_3_18_f000043	- Rzecz jest taka. Ja nieraz napomykałem Dalskiemu i zresztą wszystkim którzy mają pieniądze że wartoby założyć w Warszawie gabinet doświadczalny do technologii chemicznej i mechanicznej.
M-AILABS_pol_000624	saragossie_13_f000097	wśród których na pewno znajdują się recepty na wyrabianie atramentu.
M-AILABS_pol_000625	lalka_3_20_f000073	a pod Skierniewicami nie uleczyłbym się z głupoty... Wszakże to moi dobrodzieje ci państwo... Nawet powinienbym wyswatać tę dobraną parę a przynajmniej ułatwiać im schadzki... I pomyśleć że z takiej mierzwy kiedyś wykwitnie metal Geista!
M-AILABS_pol_000626	lalka_1_09_f000190	później przenosi się na Powązki i z drugiej znowu strony miasta razi bliźnich pozostałych przy życiu.
M-AILABS_pol_000627	saragossie_48_f000090	Jestem kawaler Toledo brat księcia Lermy.
M-AILABS_pol_000628	lalka_3_01_f000067	Przytem mina jakby jednej nitki nie miał na kredyt tylko wszystko za gotówkę.
M-AILABS_pol_000629	lalka_3_04_f000089	- Oczywiście chora kobieta... - mruknął Maleski.
M-AILABS_pol_000630	saragossie_08_f000112	Ogniste potoki dzieliły nas od reszty ludzi; ogień miłości ogarniał nasze zmysły.
M-AILABS_pol_000631	lalka_3_08_f000016	- A od kogóż? - spytał Wokulski.
M-AILABS_pol_000632	saragossie_25_f000016	Wychowany w zupełnej wolności z początku nie mogłem przywyknąć do więzienia i długo gorzko płakałem.
M-AILABS_pol_000633	lalka_3_09_f000123	- Nieszczęśliwa miłość budzi daleko więcej interesu - szepnęła raz panna Rzeżuchowska do pani Wąsowskiej.
M-AILABS_pol_000634	lalka_2_21_f000067	drzwi przedziału znowu usunęły się i ukazał się nadkonduktor a obok niego bardzo szczupły pan z malutkiemi wąsikami szpakowatemi
M-AILABS_pol_000635	lalka_2_20_f000159	To nie dla pana zajęcie - dodał machnąwszy ręką.
M-AILABS_pol_000636	lalka_3_10_f000129	Jaka jest najważniejsza zdolność: czy pociąg płciowy? Nie wstręt do śmierci.
M-AILABS_pol_000637	saragossie_20_f000113	Zamawiam moją piękną kuzynkę do sarabandy; jest to taniec hiszpański ale zobaczycie jak Francuzi go wydoskonalili.
M-AILABS_pol_000638	saragossie_52_f000104	Niegodziwi ludzie żądają ode mnie pieniędzy których nie jestem w stanie zapłacić.
M-AILABS_pol_000639	lalka_3_11_f000191	Czyżby Maruszewicz?... pomyślał Wokulski.
M-AILABS_pol_000640	lalka_2_21_f000016	pan Ignacy otworzył kasę ogniotrwałą i z uroczystą miną wydobył ztamtąd list Suzina.
M-AILABS_pol_000641	saragossie_60_f000026	Senor don Juanie depcesz tu ziemię nieprzeniknioną dla zwyczajnego wzroku gdzie każdy strzeże jakiejś tajemnicy.
M-AILABS_pol_000642	saragossie_62_f000083	W grobowcu zastałem derwisza; pobłogosławił mnie i pokazał kręcone schodki prowadzące do góry którymi miałem się udać.
M-AILABS_pol_000643	saragossie_07_f000044	Widok tak pięknej sukni na chłopczyku w moim wieku tak dalece mnie zachwycił że sam nie wiedząc co czynię zbliżyłem się do niego i ofiarowałem mu dwa kasztany które trzymałem w ręku;
M-AILABS_pol_000644	lalka_2_05_f000002	Ten sam Wokulski który rok temu poleciał do Bułgaryi a przed kilkoma tygodniami jak magnat bawił się w wyścigi i pojedynki ten sam Wokulski nabrał dziś nadzwyczajnego gustu do widowisk teatralnych.
M-AILABS_pol_000645	lalka_1_18_f000241	Dlaczegoż to?
M-AILABS_pol_000646	lalka_2_10_f000081	Panna Izabela serdecznie uściskała ojca.
M-AILABS_pol_000647	lalka_1_15_f000174	Ciepło mi się zrobiło około serca na myśl że mogę ujrzeć w druku moje nazwisko które raz tylko figurowało w Gazecie Policyjnej gdym zgubił książeczkę.
M-AILABS_pol_000648	lalka_2_17_f000118	O panu Escabeau wiem że ma dochody z fabryki trykotaży a wydaje pieniądze na zbudowanie jakiejś piekielnej broni więc szanuję go...
M-AILABS_pol_000649	lalka_1_10_f000156	Wokulski mienił się siedząc na fotelu; już nie mógł znieść głosu Mraczewskiego.
M-AILABS_pol_000650	lalka_2_19_f000085	Jumart wyciągnął naprzód dolną wargę.
M-AILABS_pol_000651	lalka_2_10_f000092	Lecz przyznając to czuła nienawiść.
M-AILABS_pol_000652	saragossie_36_f000186	Moja matka będąc rodem z Salamanki wróciła wówczas do rodzinnego miasta ze mną i z moją siostrą Dorotą.
M-AILABS_pol_000653	saragossie_32_f000116	Cóż się tam dzieje na Malcie? Co porabia wielki mistrz? wielki komtur przeor nowicjatu? Drogi przyjacielu niechże cię uściskam!
M-AILABS_pol_000654	lalka_1_01_f000060	Przez pół roku szukał zajęcia zdaleka omijając handle korzenne których po dziś dzień nienawidzi aż nareszcie przy protekcyi swego dzisiejszego dysponenta
M-AILABS_pol_000655	saragossie_49_f000042	- W istocie prześladują cię ale twoje sto dublonów dane za głowę i zamordowany człowiek który umarł bez sakramentów. Cóż? Czy nie zgadłem?
M-AILABS_pol_000656	lalka_2_20_f000137	drugi przypominał manometr którego skazówka jest w ruchu.
M-AILABS_pol_000657	lalka_2_06_f000068	Więc postanowił pójść jutro do sądu i zobaczyć czy naprawdę stary Szlaugbaum kupi dom Łęckich i czy jak mówił Klejn dolicytuje go do dziewięćdziesiąt.
M-AILABS_pol_000658	saragossie_27_f000035	Pierwsi należeli do tych których w Hiszpanii nazywają agraviados to jest pokrzywdzonymi przez nieudzielenie im zasłużonej godności granda.
M-AILABS_pol_000659	lalka_3_09_f000112	Odbył się nawet w domu hrabiny teatr amatorski na którym odegrano dwie sztuki w języku francuskim i jednę w angielskim.
M-AILABS_pol_000660	saragossie_20_f000103	Zresztą mniejsza o to Gramont Roquelaure i wszyscy starzy serdecznie cię całują.
M-AILABS_pol_000661	saragossie_46_f000029	Takie postępowanie bodło mnie czasami ale nigdy nie martwiło.
M-AILABS_pol_000662	lalka_2_14_f000104	Ja rządca.
M-AILABS_pol_000663	saragossie_26_f000071	Wydawało mi się - rzekł kabalista - że czasami jeszcze wpadasz senor w roztargnienie skoro jednak zapewniasz nas
M-AILABS_pol_000664	saragossie_03_f000035	Byłbym natychmiast puścił się w drogę gdyby mi nie była przyszła chętka raz jeszcze obejrzeć gospodę.
M-AILABS_pol_000665	saragossie_21_f000049	Jaśnie Oświecony Panie ta młoda osoba nigdy nie widziała klęczącego przed sobą mężczyzny. Racz pozwolić aby oddaliła się do swoich pokojów.
M-AILABS_pol_000666	saragossie_63_f000072	Niektórzy z Zegrysów i Gomelezów przyjęli wiarę chrześcijańską lub przynajmniej udali nawrócenie.
M-AILABS_pol_000667	lalka_2_18_f000008	Ale Wokulskiemu szumiało i dzwoniło w uszach a przed oczyma ukazywały mu się to ulice gładkie jak posadzka
M-AILABS_pol_000668	lalka_2_14_f000147	Skrzyżowała ręce na piersiach jak Napoleon I. i patrząc na mnie rzekła:
M-AILABS_pol_000669	lalka_3_15_f000038	- Będę cię leczył.
M-AILABS_pol_000670	lalka_3_23_f000129	sprowadzę Lisieckiego znajdę Klejna i spróbujemy panie Szlangbaum czy tylko ty masz rozum... Do licha co może być łatwiejszego aniżeli zrobienie pieniędzy jeżeli chce się tego?A jeszcze z takim kapitałem i takimi ludźmi!
M-AILABS_pol_000671	lalka_1_16_f000144	Cóż w tem dziwnego - śmiał się zarażony hrabia. - Malarze nadawali obrazom wyraz o jakim nie śniło się żadnemu z oryginałów; tak jak heraldycy i historycy opowiadali o nich bajeczne legendy. To wszystko kłamstwa mój kuzynie!
M-AILABS_pol_000672	lalka_1_15_f000171	dawali wszelkie objaśnienia.
M-AILABS_pol_000673	lalka_3_02_f000128	Dlatego nawet nie zapuszczam rolet wieczorem.
M-AILABS_pol_000674	saragossie_25_f000122	Pragnąłem czym prędzej wrócić do domu i podwoiłem kroku myśląc ciągle że idę we właściwym kierunku
M-AILABS_pol_000675	saragossie_55_f000191	Dobrze więc dziś wieczorem pójdziesz na operę i zgadnij do czyjej loży? Do don Fernanda de Thaz wielkiego koniuszego ani mniej ani więcej.
M-AILABS_pol_000676	lalka_3_03_f000031	złożywszy ręce jak do pacierza.
M-AILABS_pol_000677	saragossie_20_f000250	Proszę was teraz abyście raczyli zwrócić uwagę na dziwne moje przeznaczenie.
M-AILABS_pol_000678	saragossie_05_f000005	Przypomniałem sobie o moim postanowieniu i zamierzyłem na włos od niego nie odstąpić.
M-AILABS_pol_000679	lalka_2_06_f000160	Już ja tam wolę nie widzieć twojej chudości.
M-AILABS_pol_000680	saragossie_36_f000080	ale zasięgnąwszy bliższych wiadomości dowiedziałam się że już prawic od wieku dom wasz nie chce mieć żadnych stosunków z naszym i to dla nader błahych jak utrzymują powodów.
M-AILABS_pol_000681	saragossie_39_f000095	Wola w dziecku nowo narodzonym zapewne poprzedza myśl ale bardzo niewiele myśl zaś ma także swoje elementarne pierwiastki które musicie poznać.
M-AILABS_pol_000682	saragossie_20_f000009	ponieważ jednak przyjęliście mnie z taką gościnnością uwiadomienie was zatem o wszystkim co się mnie tyczy jest moim najświętszym obowiązkiem. Zacznę więc od oznajmienia że nazywam się.
M-AILABS_pol_000683	lalka_2_19_f000205	Tymczasem dopiero zapowiedź ich. - Powiedz mi pan jednak - ciągnął Wokulski - cobyś sądził gdyby Geist pokazał ci metal pod każdym względem przypominający stal
M-AILABS_pol_000684	saragossie_65_f000101	Mahometanie mieszkający w dolinie po-stanowili odtąd modlić się u siebie byłem więc sam w całym podziemiu.
M-AILABS_pol_000685	saragossie_36_f000176	Senor don Roque zaręczam ci że ważna sprawa nie pozwala mi dłużej pozostać.
M-AILABS_pol_000686	lalka_3_23_f000226	Nagle w bocznej kieszeni zmarłego spostrzegł wysunięty do połowy list Węgiełka i machinalnie przeczytał nakreślone wielkiemi literami wyrazy:
M-AILABS_pol_000687	lalka_3_13_f000034	- O piątej wielmożny panie - odparł człowiek robiąc ruch jakby chciał pocałować go w rękę. - Ja wielmożny panie jestem.
M-AILABS_pol_000688	saragossie_53_f000033	Przeciwnie obawiam się że gdyby się miał kiedykolwiek odmienić życie straciłoby dla mnie swój urok.
M-AILABS_pol_000689	lalka_3_15_f000001	Leżąc albo siedząc w swoim pokoju Wokulski machinalnie przypominał sobie w jaki sposób ze Skierniewic powrócił do Warszawy?
M-AILABS_pol_000690	lalka_2_11_f000156	Phi! Co za ulewa co za kanonada piorunów. Zwinięty w kłębek Ir odszczekuje im przez sen stłumionym głosem a ja kładę się do łóżka nakryty tylko prześcieradłem.
M-AILABS_pol_000691	lalka_3_11_f000130	- Jutro postaram się zaspokoić panów.
M-AILABS_pol_000692	lalka_1_07_f000070	Nie - śmieje się panna Izabela - tylko zdrzemnęłam się i tak mi się coś majaczyło.
M-AILABS_pol_000693	saragossie_36_f000101	Otrzymałem ten list o piątej słońce zachodziło o dziewiątej pozostawało mi więc jeszcze cztery godziny z którymi nie wiedziałem co począć.
M-AILABS_pol_000694	lalka_3_21_f000008	Gorzej nawet niż bałamucą bo odejmują serca ludziom.
M-AILABS_pol_000695	saragossie_07_f000119	z których nigdy nie spodziewał się wyleczyć chętnie wdawał się w rozmowę z rycerzami sobie podobnymi.
M-AILABS_pol_000696	lalka_1_13_f000223	Nie trzeba deptać... Niemcy są też ludźmi.
M-AILABS_pol_000697	saragossie_07_f000220	Zoto odszedł i każdy z nas stosownie do swego sposobu widzenia zamyślił się nad tym co słyszał.
M-AILABS_pol_000698	saragossie_55_f000199	Spazm konwulsyjny ściskał mu gardło język opuchł i zesztywniał oczy straciły blask wzrok stał się błędny a ciemnożółta skóra pokryła się białymi gruzełkami.
M-AILABS_pol_000699	saragossie_54_f000165	Pani Cornadez przepędziła ten czas w Madrycie gdzie osiedliły się jej matka i siostra.
M-AILABS_pol_000700	lalka_2_12_f000156	że jestem niedołęga że nie rozumiem życia że przyjmuję na lokatorów ludzi podejrzanych.
M-AILABS_pol_000701	lalka_3_19_f000216	- Do widzenia... na wsi!Wokulski opuścił jej mieszkanie jak pijany. Znalazłszy się na ulicy szepnął:
M-AILABS_pol_000702	lalka_2_25_f000113	Panna Ewelina należy do wyjątków... - zawołał baron.
M-AILABS_pol_000703	saragossie_30_f000282	Jednakże zatrzymałem się u niej tylko przez krótką chwilę gdyż lękałem się.
M-AILABS_pol_000704	lalka_1_02_f000030	Z pewnością... Nie nie uszkodzony... Lalki z włosami teatr karuzel.
M-AILABS_pol_000705	lalka_1_16_f000269	O tych mogę mówić tylko z moimi wspólnikami - odpowiedział Wokulski.
M-AILABS_pol_000706	saragossie_16_f000029	Miejsce to zdobią piękne drzewa dwa zaś lwy wyrzucające wodę do marmurowej wanny niemało przyczyniają się do podniesienia jego uroku.
M-AILABS_pol_000707	lalka_3_20_f000028	- Ale ba - mruknął Ochocki. - Inni to nie pan... Ja mam wszystkiego półtora tysiąca rubli rocznie a jednak bardzo często przychodzi mi na myśl
M-AILABS_pol_000708	saragossie_55_f000055	Nazajutrz ojciec mój wyszedłszy na balkon i powiedziawszy agur otworzył usta chcąc zapytać się co znaczą te kociołki ale ponieważ nie miał zwyczaju mówienia nic przeto nie rzekł i odszedł do siebie.
M-AILABS_pol_000709	lalka_1_21_f000145	No dla niej także zrobiłem majątek daję pracę kilkuset ludziom; pomnożę bogactwa kraju.
M-AILABS_pol_000710	saragossie_28_f000160	Tym sposobem postępowałam przez kilka piątków:
M-AILABS_pol_000711	lalka_1_04_f000086	Jak gracz któremu dziesięć razy zrzędu wychodzi ten sam numer w rulecie. Gruba gra?... prawie co miesiąc stawiałem cały majątek a codzień życie.
M-AILABS_pol_000712	lalka_1_12_f000073	Miała na sobie blado-niebieską suknią i wielkie perły na szyi. Była tak piękna i tak majestatyczna w ruchach że Wokulski patrząc na nią skamieniał.
M-AILABS_pol_000713	lalka_2_21_f000086	Przepraszam! Doprawdy nie miałem zamiaru... Ale sądzę że moja przyjaźń dla czcigodnej prezesowej która panie tak.
M-AILABS_pol_000714	saragossie_49_f000018	lecz aby przez jakiś czas odprawiał pokutę w jednym ze świętych miejsc.
M-AILABS_pol_000715	lalka_3_18_f000058	- Wiem! wiem!... Wyrywali mi przecież bez chloroformu paznogieć u nogi i to jeszcze u wielkiego palca.
M-AILABS_pol_000716	lalka_2_10_f000155	Ja państwa prześladuję! - rzekł zmienionym głosem. - Czyliż znajdziecie sługę...
M-AILABS_pol_000717	lalka_1_11_f000259	Wokulski napisał list opowiedział gdzie ma iść i wkońcu dodał:
M-AILABS_pol_000718	lalka_1_09_f000089	Wylegitymowanie się ze szlachectwa nie było rzeczą trudną.
M-AILABS_pol_000719	lalka_2_05_f000107	A wówczas jakby na komendę z galeryi i z paradyzu odzywały się gwałtowne oklaski i wrzaskliwe okrzyki:
M-AILABS_pol_000720	saragossie_30_f000013	Podziękowałam memu ojcu za zaufanie z jakim zapoznał mnie z ważniejszymi wypadkami swego życia.
M-AILABS_pol_000721	saragossie_04_f000235	Tak przepędzaliśmy dni jeden za drugim z tą różnicą że w zimie zasiadaliśmy koło komina w lecie zaś na ławce przypartej do zamkowej bramy.
M-AILABS_pol_000722	lalka_2_06_f000048	Ciężko co? - rzekł.
M-AILABS_pol_000723	lalka_1_18_f000116	Wogóle ulica przedstawiała się czysto spokojnie i wesoło.
M-AILABS_pol_000724	lalka_3_22_f000067	- Słyszałeś pan co on mówił o Stachu?... - spytał Rzecki.
M-AILABS_pol_000725	saragossie_20_f000187	Sprawa twoja don Henryku doszła do wiadomości króla który mocno rozgniewał się na mnie i na moich urzędników za tę pomyłkę.
