M-AILABS_ukr_000211	zvirobij_s004500	Прямокутно обтесані з трьох боків, ці колоди мали на кінцях великі шипи.
M-AILABS_ukr_000594	voly_14_f000073	Чіпка узяв гроші, подумав, повертів у руках синю бумажку, заховав її у кисет з тютюном, пхнув у кишеню, зітхнув - і взявся за шапку.
M-AILABS_ukr_000595	voly_06_f000167	Дивись - не стямився й звідки - вихопилась та й почимчикувала житами - тільки одежа матнається. Чіпка помітив - берегтися стала.
M-AILABS_ukr_000596	voly_10_f000262	Поки все це діялось, Пісками правив Потапович. Ще ніколи піщани не зазнали такого лиха, як тоді, коли ними правила тілиста рука товстопузого Потаповича.
M-AILABS_ukr_000597	zahar_berkut_s002592	Який ти страшний, таточку,- прошептала Мирослава.- Я не пізнаю тебе!
M-AILABS_ukr_000598	mykola_djerya_s001490	Батюшка у Вербівці був молодий і вже нагнав плату за треби вдвоє.
M-AILABS_ukr_000599	15YO_Capitan_s002898	Тому він не вагаючись збочив з дороги слонів, коли вона одійшла від потічка.
M-AILABS_ukr_000600	zvirobij_s003201	як Томова хижка, а я дещо знаю про тюрми з власного досвіду.
M-AILABS_ukr_000601	voly_10_f000058	Тоді вони кинулись до того, до чого кидається немічний.
M-AILABS_ukr_000602	kaydasheva_s000145	Чи підеш, Палажко, і цього року до Києва? - спитала Кайдашиха.
M-AILABS_ukr_000603	voly_18_f000167	- Що?!
M-AILABS_ukr_000604	zvirobij_s001610	А хто каже про ближніх чи взагалі про людей, Звіробою? Я ж бо торочу тобі про індіянів!
M-AILABS_ukr_000605	zvirobij_s002276	Така його воля, щоб кожен жив окремо.
M-AILABS_ukr_000606	chorna_rada_s000223	Божий чоловік ясен був на виду, мов душа його жила не на землі, а на небі.
M-AILABS_ukr_000607	fata_morgana_s000279	Не знаю. Одні кажуть - відтяло руку, а другі - пальці.
M-AILABS_ukr_000608	zvirobij_s004206	Одне слово, вони хотіли якомога швидше довершити свою справу, побоюючись можливих ускладнень, і негайно податися до далекого озера Онтаріо.
M-AILABS_ukr_000609	zvirobij_s001547	На світанку, визирнувши у стрільниці, крізь які тільки й надходило світло та повітря знадвору, бо всі вікна були щільно приперті грубими віконницями, вони побачили:
M-AILABS_ukr_000610	zahar_berkut_s000058	Ціль його походу - край угорський, дідицтво Арпада, що був підданим великого Чінгісхана, а тепер не хоче признати його зверхності.
M-AILABS_ukr_000611	zvirobij_s001094	Досвідчений і хитрий облесник може мати успіх, поки його зброя обернеться проти нього ж самого, - так будь-які солодощі викликають огиду, коли ними об'їстися.
M-AILABS_ukr_000612	15YO_Capitan_s001259	Ні. Вони пропливають набагато далі, у відкритому морі. Адже ви, мабуть, не зустріли жодного? Не зустріли, - відповіла місіс Велдон.
M-AILABS_ukr_000613	voly_11_f000120	Вернулися люди з гарбузом; розказали батькові-матері.
M-AILABS_ukr_000614	voly_19_f000036	Соцькі з вірьовкою до Чіпки. Запалали в його очі.
M-AILABS_ukr_000615	chorna_rada_s002673	він би якраз потрощив об ваші дурнії голови свою булаву!
M-AILABS_ukr_000616	chorna_rada_s002208	Не знатимете під моею булавою жодного козака або козацької старшини над собою паном: усі будемо рівні. Добре він порівняв Україну!
M-AILABS_ukr_000617	voly_10_f000237	Доїхала-таки її дівка Уляна!!
M-AILABS_ukr_000618	kaydasheva_s001011	Малі діти поставали серед хати й повитріщали на Кайдашиху оченята. Коло дітей терлась кішка, обстрижена од голови до самого хвоста. Кайдашиха глянула на дітей,
M-AILABS_ukr_000619	tini_zabutyh_predkiv_s000213	а в глибокій долині щось клекотіло, ламалось і глухо шуміло.
M-AILABS_ukr_000620	zvirobij_s005113	Незважаючи на всю свою рішучість, природжену й виховану умовами життя,
M-AILABS_ukr_000621	zvirobij_s000107	Пригадуєш оленя, в якого ти стріляв нещодавно? Зараз не час полювати оленів.
M-AILABS_ukr_000622	zvirobij_s006520	Вона здивовано сіла й помітила, що якийсь темний клубок одкотився від неї, розкидаючи листя та ламаючи хмиз під ногами.
M-AILABS_ukr_000623	zvirobij_s000597	Звісно, парубкові далеко до досконалості, але трапляються люди й гірші в тих краях,
M-AILABS_ukr_000624	zahar_berkut_s000457	Минули вже село і зближалися до того місця, де тухольська кітловина замикалася, пропускаючи тільки вузькою скалистою брамою потік у долину.
