voxpopuli_lit_006176	20191125-0900-PLENARY-lt_20191125-21:49:02_7	Deja, didžioji dauguma nuteistų kaltininkų slapstosi Rusijoje ir Baltarusijoje.
voxpopuli_lit_006405	20190327-0900-PLENARY-lt_20190327-12:30:52_1	Aš nekalbėsiu šiandieną lozungais, kur eina kalba apie darbuotojų tam tikras socialines garantijas, tai yra labai svarbus klausimas, tačiau labai tiesiai, o čia buvo įvardinta, tai yra rinkos perdalijimas, ir tuo būdu periferinės ir mažos valstybės praranda bet kokią galimybę patekti į didesnių valstybių, kurios yra geografiškai pačiame centre, rinką.
voxpopuli_lit_006406	20191217-0900-PLENARY-lt_20191217-22:09:06_9	Be to, būtina atkreipti dėmesį ir į rezoliucijoje paminėtus teritorinės atskirties problemos sprendimus, kuriuos, manau, privalu išplėtoti.
voxpopuli_lit_006407	20190327-0900-PLENARY-lt_20190327-12:29:38_2	Tūkstantis šeši šimtai pateiktų pataisų tik dar vienas įrodymas, kad sutarimo nėra ir, deja, jam pasiekti laiko jau neturime iki kadencijos pabaigos liko mažiau nei mėnuo.
voxpopuli_lit_006408	20191217-0900-PLENARY-lt_20191217-18:56:50_3	Šiaip mokslas neginčytinai įrodė, kokie yra klimato kaitos faktoriai.
voxpopuli_lit_006409	20140204-0900-PLENARY-15-lt_20140204-17:14:36_6	Tai aktualu ir Lietuvos gamintojams, chemijos, trąšų, plastiko ir kitoms šakoms, kurie kenčia dėl, pvz.,
voxpopuli_lit_006410	20150325-0900-PLENARY-15-lt_20150325-20:52:05_3	Rinkos skaidymas ir nesąžininga konkurencija iš tikrųjų kelia labai rimtą pavojų rytų Europos šalių vežėjams, tarp jų ir mano gimtosios Lietuvos.
voxpopuli_lit_006411	20190704-0900-PLENARY-lt_20190704-11:57:17_4	Ir iš tikrųjų, mes turime kalbėti apie tai, kaip visa Europa vieningai gali atstovauti, kaip žmonių valia išrinkti Europos parlamentarai gali pateikti savo pasiūlymą ir kaip šios institucijos gali bendradarbiauti. Manau, kad be tolygaus atstovavimo mes niekados negalėsime išspręsti tų problemų, kurios kamuoja įvairius Europos regionus
voxpopuli_lit_006412	20190312-0900-PLENARY-lt_20190312-09:50:27_2	Moterims tikrai nepakankamai atstovaujama bankų ir finansinių paslaugų institucijose tik apie 15 procentų.
voxpopuli_lit_006413	20190718-0900-PLENARY-lt_20190718-11:10:52_4	kur Rusatomas, nepaisydamas aplinkosaugininkų protestų ir išvadų dėl ESPO Konvencijos pažeidimų, baigia statyti nesaugią elektrinę prie pat Europos Sąjungos sienos.
voxpopuli_lit_006414	20191217-0900-PLENARY-lt_20191217-18:56:50_6	Nesutariama ir dėl paties termino ambicijos.
voxpopuli_lit_006415	20190404-0900-PLENARY-lt_20190404-09:57:44_6	Taip pat labai svarbu, kad darbo vietoje būtų sukurta šeimai draugiška aplinka ir kad darbdaviai garantuotų vaikus auginančioms šeimoms lanksčius darbo santykius, kad būtų sustiprintos teisės į socialinę apsaugą ir pensiją.
voxpopuli_lit_006416	20190213-0900-PLENARY-lt_20190213-19:28:36_7	Tačiau to negalėčiau pasakyti apie visas valstybes nares.
voxpopuli_lit_006417	20140113-0900-PLENARY-21-lt_20140113-22:20:25_12	Dėl šių priežasčių raginu Komisiją plėtoti sąvokų sistemą.
voxpopuli_lit_006418	20191125-0900-PLENARY-lt_20191125-21:47:32_3	Aš tuos beginklius, nukautus ir sužeistus civilius žmonės mačiau, ir kaip gydytojas kai kurios iš jų gydžiau.
voxpopuli_lit_006419	20150520-0900-PLENARY-23-lt_20150520-20:25:47_0	Šiandieną Rusija leidžia suprasti tai, kas vyksta Ukrainoje, gali pasikartoti ir kitose Rytų kaimynystės šalyse.
voxpopuli_lit_006420	20191126-0900-PLENARY-lt_20191126-11:17:28_2	Tačiau svarbiausia, kad derybose būtų išlaikytas esminis Europos prioritetas, tai socialiai tvarios ir saugios Europos kūrimas mūsų žmonėms.
voxpopuli_lit_006421	20150311-0900-PLENARY-3-lt_20150311-10:28:06_4	Iš tiesų atskiros šalys nėra pajėgios pavieniui užsitikrinti energetinę valstybių nepriklausomybę, išteklių tiekimą geriausiomis kainomis.
voxpopuli_lit_006422	20140114-0900-PLENARY-3-lt_20140114-09:49:11_10	bei lenkų kalbomis naudojimą, kurios kabo ant privačių namų.
voxpopuli_lit_006423	20191126-0900-PLENARY-lt_20191126-11:17:28_9	Ir noriu padėkoti iš tikrųjų pirmininkaujančiai Suomijai už jos pastangas rasti subalansuotą susitarimą tarp valstybių narių ir tikrai tikiuosi, jog susitikimo metu bus rasti konstruktyvus ir socialiai orientuoti sprendimai.
voxpopuli_lit_006424	20140114-0900-PLENARY-3-lt_20140114-10:03:41_10	Karobliui, dėkoju viceministrui Vytautui Leškevičiui, kuris iš tikrųjų labai gerai dirbo su Europos Parlamentu, ir visai Lietuvos vyriausybei ir visiems čia esantiems žmonėms, todėl, kad žinau, kiek daug jie dirbo, kiek naktų nemiegojo, kiek nervų sugadino, bet užtai rezultatas yra tikrai geras.
voxpopuli_lit_006425	20190212-0900-PLENARY-lt_20190212-21:39:51_1	Visų pirma, mes vis dar nesugebame įveikti smurto prieš moteris, kuris yra vienas didžiausių žmogaus teisių pažeidimų, nes iki šiol aštuonios valstybės narės vis dar nėra ratifikavusios Stambulo konvencijos. O ką tai reiškia, kad tose šalyse nėra smurto prieš moteris?
voxpopuli_lit_006426	20151008-0900-PLENARY-3-lt_20151008-08:42:38_0	Pirmiausia noriu pabrėžti, kad Direktyva dėl moterų ir vyrų lygių galimybių darbe ir darbo rinkoje tikrai yra sunkiai įgyvendinama valstybėse narėse.
voxpopuli_lit_006427	20140113-0900-PLENARY-21-lt_20140113-22:20:25_2	Išaugęs nedarbas bei sumažėjusios gyventojų pajamos didino socialinės apsaugos išlaidų poreikį, o tuo pačiu metu nacionaliniai biudžetai buvo balansuojami mažinant pensijas ir kitas socialines išmokas.
voxpopuli_lit_006428	20140116-0900-PLENARY-4-lt_20140116-10:33:52_0	Ne taip seniai, praėjusių metų gruodžio 10
voxpopuli_lit_006429	20150518-0900-PLENARY-21-lt_20150518-22:46:48_1	Tačiau dažnai dėl resursų trūkumo jos veikia apibrėžtoje teritorijoje ir jų idėjos, produktai bei paslaugos žinomi tik ribotam žmonių kiekiui.
voxpopuli_lit_006430	20190327-0900-PLENARY-lt_20190327-10:08:10_0	Ponia pirmininke, Europos Sąjungos dabartinė valdžia toliau ir toliau tolsta nuo Tautų Sąjungos politikos sampratos, toliau garbina globalizmą, kuris yra tikriausia neokomunizmo ideologija,
voxpopuli_lit_006431	20140114-0900-PLENARY-3-lt_20140114-10:34:33_3	Pirmininkaudama Europos Sąjungai, Lietuva sugebėjo sutelkti Europos dėmesį į glaudesnius santykius su Rytų partnerystės šalimis, o Rusijai atsakius spaudimu, Europos Sąjungoje nebeliko iliuzijų dėl Maskvos politikos tikslų.
voxpopuli_lit_006432	20191217-0900-PLENARY-lt_20191217-18:56:50_12	Taigi Europa ėmėsi ryškios lyderystės ir ją turime išlaikyti.
voxpopuli_lit_006433	20191128-0900-PLENARY-lt_20191128-12:51:52_0	Ačiū pirmininke, pritariau Komisijos paskyrimui, nes pritariu jos pateiktai žaliosios socialinės krypties veiklai.
voxpopuli_lit_006434	20191125-0900-PLENARY-lt_20191125-21:49:02_4	Tuomet netekome 14 kos laisvės gynėjų, šimtai buvo sužeisti.
voxpopuli_lit_006435	20150706-0900-PLENARY-12-lt_20150706-21:50:16_5	Ir toms valstybėms, kur pieno supirkimo kainos yra ženkliai mažesnės už Europos vidurkį, turime kuo greičiau suteikti paramą, kitaip investuoti didžiuliai Europos pinigai paprasčiausiai prapuls.
voxpopuli_lit_006436	20190403-0900-PLENARY-lt_20190403-16:29:54_13	Vadovų Tarybos susitikimu, nes tikrasis tokios lyderystės kabutėse rezultatas išaugusi socialinė atskirtis, skurdas ir nedarbas.
voxpopuli_lit_006437	20150415-0900-PLENARY-17-lt_20150415-21:26:48_5	Noriu kreiptis tiek į Europos Parlamentą, tiek į Komisiją, kad procedūros, reguliuojančios valstybių narių valią pasirinkti laisvos nuo GMO šalies statusą nebūtų apipintos perdėtais biurokratiniais reikalavimais, o valstybės turėtų realią, ne tik teorinę galimybę iš tiesų atsiriboti nuo GMO.
voxpopuli_lit_006438	20150310-0900-PLENARY-16-lt_20150310-16:53:55_10	Tokia situacija neturi būti toleruojama, todėl kartoju savo raginimą Komisijai prisiimti atsakomybę.
voxpopuli_lit_006439	20140114-0900-PLENARY-3-lt_20140114-09:49:11_14	Praėjusių metų liepą Europos Parlamentas specialioje kalbų įvairovės rezoliucijoje paragino valstybes nares, kurios to dar nepadarė, pasirašyti bei ratifikuoti Europos regioninių bei mažumų kalbų chartiją.
voxpopuli_lit_006440	20190918-0900-PLENARY-lt_20190918-18:28:23_12	Ji skirta ateičiai, jaunajai kartai, kad ši istorija niekada nepasikartotų, o išlikusios Europos padalijimo linijos išnyktų galutinai.
voxpopuli_lit_006441	20150311-0900-PLENARY-3-lt_20150311-10:28:06_2	Bendra valiuta, bendra rinka, bendra energetinė sistema tai vis sudedamosios Europos Sąjungos dalys, kurios turi ir pliusų, ir minusų, jei kalbėtume apie valstybių savarankiškumą ir jų piliečių gerovę.
voxpopuli_lit_006442	20140114-0900-PLENARY-3-lt_20140114-09:49:11_6	ir kurio rezultatai buvo nuspėjami dar iki susitikimo.
voxpopuli_lit_006443	20190327-0900-PLENARY-lt_20190327-10:08:10_7	Milijonai bedarbių, milijonai vaikų auga šeimose su mažomis pajamomis tai globalizmo pasekmės.
voxpopuli_lit_006444	20191022-0900-PLENARY-lt_20191022-19:35:59_2	Prisimenu, dar du tūkstančiai keturioliktais metais Komisijos pirmininkas J. C. Junckeris nurodė, jog vienas iš Komisijos prioritetų bus įtikinti valstybes nares, susitarti dėl direktyvos, kuria įgyvendinamas vienodas požiūris į asmenis, nepaisant jų religijos, ar tikėjimo, negalios, amžiaus arba seksualinės orientacijos.
voxpopuli_lit_006445	20140113-0900-PLENARY-21-lt_20140113-22:20:25_13	Ir apibendrinant norėčiau pabrėžti, kad socialinės apsaugos sistemos negali būti silpninamos.
voxpopuli_lit_006446	20150415-0900-PLENARY-14-lt_20150415-19:25:54_6	Aš manau, jei parlamentarai užsirištų akis ir paėmę neregio lazdelę pabandytu patekti į savo kabinetus, veikiausiai nustebtų, kaip tai sunku padaryti, nes praktiškai nelabai yra sukurta ir infrastruktūra.
voxpopuli_lit_006447	20151028-0900-PLENARY-15-lt_20151028-21:03:06_5	Ir būtina skatinti tuos pačius bedarbius dirbti, o ne gyventi iš socialinių pašalpų.
voxpopuli_lit_006448	20140113-0900-PLENARY-21-lt_20140113-22:20:25_7	Socialinės paslaugos turėtų būti prieinamesnės visiems labiausiai pažeidžiamiems žmonėms, kuriems reikalinga ilgalaikė priežiūra, ypač kaimo vietovėse.
voxpopuli_lit_006449	20140116-0900-PLENARY-4-lt_20140116-10:35:58_4	d. rezoliucijos, dėl valstybinių institucijų kišimosi į vaikų auklėjimą.
voxpopuli_lit_006450	20150519-0900-PLENARY-7-lt_20150519-13:00:12_8	Kitas aspektas antibiotikų pakuotės.
voxpopuli_lit_006451	20191126-0900-PLENARY-lt_20191126-11:17:28_5	Nepamirškime, jog iki šiol neįvykdėm savo įsipareigojimų panaikinti vaikų skurdą.
voxpopuli_lit_006452	20190213-0900-PLENARY-lt_20190213-19:28:36_0	Nors šis dokumentas, kurį šiandien svarstome, yra ne apie Kiniją, bet aš kalbėsiu apie Kiniją kaip vieną ryškiausių pavyzdžių.
voxpopuli_lit_006453	20150309-0900-PLENARY-13-lt_20150309-22:58:50_0	Gerbiama komisare, nepaisant didelių praradimų dėl Rusijos įvestų sankcijų, Lietuvos transporto ir logistikos sektorius sulaukė nepakankamo Europos Komisijos dėmesio.
voxpopuli_lit_006454	20191217-0900-PLENARY-lt_20191217-18:56:50_1	Madride konstatuota, kad yra skubus poreikis naujiems įsipareigojimams dėl klimato kaitos. Bet tai turbūt ir visas pozityvas.
voxpopuli_lit_006455	20150908-0900-PLENARY-15-lt_20150908-19:25:50_0	Gerbiamas pranešėjau, iš visos širdies dėkoju Jums už gerai parengtą pranešimą ir mūsų glaudų bendradarbiavimą.
voxpopuli_lit_006456	20190213-0900-PLENARY-lt_20190213-10:40:57_3	savivaldybių išsivystymo lygio skirtumus ir tokiose šalyse kaip Lietuva, Čekija.
voxpopuli_lit_006457	20191217-0900-PLENARY-lt_20191217-22:09:06_0	Ačiū ponia Pirmininke, siekiai sudaryti sąlygas skaitmeninei sveikatos priežiūrai bendroje skaitmeninėje rinkoje siūlo galimybes, atliepia pacientų lūkesčius, bet kartu kelia ir iššūkius, tokius, pavyzdžiui, kaip standartizacija ir unifikavimas.
voxpopuli_lit_006458	20190918-0900-PLENARY-lt_20190918-18:28:23_7	Molotovo dvasia gyvenantis Kremlius skatina stalinizmo garbinimą ir skleidžia melą.
voxpopuli_lit_006459	20190918-0900-PLENARY-lt_20190918-18:34:46_5	Būtina aktyviai veikti ir demaskuoti pastangas dominuoti, paveržti kitų laisvą valią, suvaržyti laisves.
voxpopuli_lit_006460	20190404-0900-PLENARY-lt_20190404-09:57:44_3	Žinoma, Europos Parlamento pozicija dėl šios direktyvos yra daugiau ambicinga nei valstybių narių, tačiau sveikinu tai, jog po ilgų derybų radom bendrą sutarimą.
voxpopuli_lit_006461	20191125-0900-PLENARY-lt_20191125-21:50:59_3	Putino valdoma Rusija ne tik nesiteikė padėti ištirti sausio 13 osios nusikaltimus, bet priešingai, pamina teisės viršenybės principą ir ieško įrankių, kuriais galėtų skleisti dezinformacija.
voxpopuli_lit_006462	20190312-0900-PLENARY-lt_20190312-11:16:36_2	Pone Premjere, Tautų Europos idėją, nuo kurios ji ir prasidėjo, neatsakingų politikų rankomis naikina pati Europos Sąjunga.
voxpopuli_lit_006463	20190212-0900-PLENARY-lt_20190212-21:39:51_3	Gaila, bet pažangos vis dar nėra siekiant sumažinti vyrų ir moterų atlyginimų skirtumą už tą patį darbą, o tuo pačiu ir pensijos skiriasi net keturiasdešimt procentų.
voxpopuli_lit_006464	20191217-0900-PLENARY-lt_20191217-17:09:28_8	Taip pat būsimoje strategijoje būtina pilnai įgyvendinti socialinio ramsčio nuostatas, kad mūsų žmonės su negalia turėtų tinkamas socialines garantijas užtikrinančias orų gyvenimą ir paslaugas, leidžiančias jiems dalyvauti visuomenės gyvenime ir darbo rinkoje.
voxpopuli_lit_006465	20190403-0900-PLENARY-lt_20190403-16:29:54_11	Pone premjere, kaip manote, ar visuomenė gali didžiuotis tokia Europos Sąjunga, kurios šalyse veikia slapti kalėjimai, o juose buvo kankinami žmonės?
voxpopuli_lit_006466	20140114-0900-PLENARY-3-lt_20140114-10:03:41_5	Ir be to, iš tikrųjų tai yra geras pasiekimas, kad švietimui ir mokymui skirtas biudžetas padidintas net 40 proc.,
voxpopuli_lit_006467	20190918-0900-PLENARY-lt_20190918-18:34:46_9	Molotovo Ribentropo paktas nebus pakartotas, jei mes sprendimus ir toliau priiminėsime visi, o ne uždaruose kabinetuose, slaptuose pasitarimuose, bandydami pasiekti naudos tik konkrečiai grupei ar vienai valstybei.
voxpopuli_lit_006468	20150908-0900-PLENARY-15-lt_20150908-19:25:50_7	Taip pat valstybės narės privalo stiprinti kokybišką viešą infrastruktūrą, skirtą vyresniems žmonėms turiu omeny dienos centrus, pagalbą namuose, kokybiškas stacionarias slaugos ir globos paslaugas, pagaliau pritaikytą viešojo transporto sistemą.
voxpopuli_lit_006469	20150325-0900-PLENARY-15-lt_20150325-21:45:48_1	Ir manau, kad iš vienos pusės mes turime labai aiškiai sau pasakyti, kad Europoje yra didžiuliai skirtumai ir turime pasidaryti pakankamai aiškų planą, kaip tuos skirtumus kuo greičiau sumažinti, sušvelninti.
voxpopuli_lit_006470	20150907-0900-PLENARY-20-lt_20150907-21:55:58_1	Svarbu tai, kad šis supaprastinimas būtų naudingas ne sofos ūkininkams, o tiems, kurie gyvena iš žemės ūkio.
voxpopuli_lit_006471	20190312-0900-PLENARY-lt_20190312-11:16:36_1	Ieškoti, kodėl Europos Sąjungos realybė esmingai skiriasi nuo Europos Bendrijos tėvų siekių, yra turbūt vienintelis būdas atsakymui į nuolat kamuojantį klausimą, kas su mumis darosi ir kas su mumis daroma, rasti.
voxpopuli_lit_006472	20191125-0900-PLENARY-lt_20191125-21:49:02_3	1991 m. sausį beginkliai ryžtingai stojo prieš Sovietų tankus.
voxpopuli_lit_006473	20140114-0900-PLENARY-9-lt_20140114-15:35:27_1	Kalbant konkrečiai apie direktyvą dėl subjektų, vykdančių veiklą vandens, energetikos, transporto ir pašto paslaugų sektoriuose vykdomų pirkimų, būtina paminėti, kad pavyko išsaugoti atskirą reglamentavimą komunalinių paslaugų teikimui.
voxpopuli_lit_006474	20150706-0900-PLENARY-12-lt_20150706-21:50:16_1	Tai kaimui labai svarbus klausimas.
voxpopuli_lit_006475	20150415-0900-PLENARY-17-lt_20150415-21:26:48_2	Taip pat Lietuvos Seimas įsipareigoja ieškoti priemonių, kaip riboti GMO pašarų pateikimą į Lietuvos rinką.
voxpopuli_lit_006476	20190704-0900-PLENARY-lt_20190704-11:57:17_5	tai šalių vienodo pragyvenimo lygio suartinimas, demokratijos, socialinio teisingumo įteisinimas ir klimato kaitos įveikimas. Mieli kolegos, aš manau, kad norint priimti bendrus sprendimus ir pasiekti tų užsibrėžtų tikslų iš tikrųjų reikia geresnio ir tarpinstitucinio bendradarbiavimo. Šiandieną mes matome, kad Vadovų Taryba to neparodė, tačiau aš tikiuosi, kad čia,
voxpopuli_lit_006477	20191125-0900-PLENARY-lt_20191125-21:50:59_4	Šis išpuolis yra išpuolis prieš visus demokratiškų šalių teisėjus ir privalo būti griežtai pasmerktas.
voxpopuli_lit_006478	20191217-0900-PLENARY-lt_20191217-18:56:50_11	Taip nuosekliai siekiame klimato neutralumo 2050 aisiais.
voxpopuli_lit_006479	20190312-0900-PLENARY-lt_20190312-09:50:27_0	Gerbiamas Pirmininke, ketvirtadienį balsavimo metu turėsime pritarti arba nepritarti kandidatų skyrimui į svarbias Europos Sąjungos ekonomikos ir pinigų politikos sričių pareigas.
voxpopuli_lit_006480	20140113-0900-PLENARY-21-lt_20140113-22:20:25_11	Manau, kad socialinės apsaugos politiką savarankiškai dirbančių asmenų atžvilgiu komplikuoja tai, kad Europos Sąjungoje nėra vieningos visuotinai pripažįstamos savisamdos apibrėžties.
voxpopuli_lit_006481	20191125-0900-PLENARY-lt_20191125-21:49:02_1	jaunoji Lietuvos piliečių karta yra nepatyrusi gyvenimo nelaisvėje.
voxpopuli_lit_006482	20150415-0900-PLENARY-14-lt_20150415-19:25:54_3	Jei didesni balai, būtų skiriami neįgaliesiems, kurie nori dirbti Europos Sąjungos institucijoje, sukurtume galimybę jiems čionai realiai patekti.
voxpopuli_lit_006483	20190918-0900-PLENARY-lt_20190918-18:28:23_3	Esu gyvas pavyzdys, kad Europos Sąjungos ir NATO plėtra geriausiai trina skiriamąsias tironų nubrėžtas linijas.
voxpopuli_lit_006484	20190403-0900-PLENARY-lt_20190403-16:29:54_24	Europos Sąjungos alternatyva yra Europa be sąjungų.
voxpopuli_lit_006485	20150309-0900-PLENARY-13-lt_20150309-22:51:26_3	Ir aš tikrai Jus užjaučiu asmeniškai, kad Jums tenka dirbti tokioje sudėtingoje situacijoje.
voxpopuli_lit_006486	20151008-0900-PLENARY-3-lt_20151008-08:42:38_3	Taigi, būdama nuomonės pranešėja Užimtumo ir socialinių reikalų komitete, raginu valstybes nares kuo efektyviau ir aktyviau įgyvendinti Komisijos rekomendaciją dėl vienodo vyrų ir moterų darbo užmokesčio principo stiprinimo didinant skaidrumą.
voxpopuli_lit_006487	20150415-0900-PLENARY-17-lt_20150415-21:26:48_0	Už genetiškai modifikuotų organizmų klausimą atsakingas Kaimo reikalų komitetas Lietuvos parlamente šiandien priėmė istorinį sprendimą nuspręsta, kad Lietuva pasinaudodama Europos Sąjungos direktyva Nr.
voxpopuli_lit_006488	20150309-0900-PLENARY-13-lt_20150309-22:51:26_1	Tai yra mūsų, Europos Sąjungos, solidarumo klausimas.
voxpopuli_lit_006489	20191126-0900-PLENARY-lt_20191126-11:17:28_4	Turi būti skiriami reikalingi finansiniai ištekliai europinei vaiko garantijai.
voxpopuli_lit_006490	20150520-0900-PLENARY-23-lt_20150520-20:25:47_5	Turime skatinti regioninį bendradarbiavimą, intensyviau remti projektus, susijusius su dalinimusi patirtimi, įgūdžių ir žinių plėtra.
voxpopuli_lit_006491	20190918-0900-PLENARY-lt_20190918-18:28:23_11	Todėl ir rezoliucija, kurią siūlome priimti rytoj, yra ne tik apie praeitį.
voxpopuli_lit_006492	20190404-0900-PLENARY-lt_20190404-09:57:44_2	Labai svarbu yra skatinti vyrus imti tėvo ir vaiko priežiūros atostogas, nes būtent tai padės įgyvendinti lyčių lygybę darbo rinkoje ir suteiks lygias galimybes moterims dirbti ir būti aktyvesnėms profesinėje veikloje.
voxpopuli_lit_006493	20150310-0900-PLENARY-16-lt_20150310-16:53:55_8	Be to, viena iš pagrindinių problemų, kuri tęsiasi metai iš metų, yra ta, kad valstybės narės nepateikė išsamių ir palyginamųjų duomenų apie pažeidimų ir sukčiavimo atvejus.
voxpopuli_lit_006494	20190403-0900-PLENARY-lt_20190403-16:29:54_22	Pone premjere, teigiama, kad Europos Sąjungai alternatyvų nėra.
voxpopuli_lit_006495	20140114-0900-PLENARY-9-lt_20140114-15:35:27_5	Pasiūlyme jau numatomas privalomas pranešimų perdavimas ir pirkimo dokumentų prieinamumas elektronine forma bei įsipareigojimas valstybėms narėms per dvejus metus pereiti prie visiško elektroninio susirašinėjimo.
voxpopuli_lit_006496	20140113-0900-PLENARY-21-lt_20140113-22:20:25_10	Taip pat pranešime dėmesį skyriau savarankiškai dirbančių asmenų socialinei apsaugai, nes kyla grėsmė, kad, keičiantis užimtumo pobūdžiui ir vis dažniau susiduriant su savisamdos atvejais, naujos darbuotojų grupės nėra ir nebus tinkamai apsaugotos.
voxpopuli_lit_006497	20150415-0900-PLENARY-17-lt_20150415-21:26:48_1	412 visa apimtimi sieks tapti GMO produkcijos auginimą draudžiančia valstybe.
voxpopuli_lit_006498	20150916-0900-PLENARY-17-lt_20150916-23:12:38_4	d. organizavo bendrą streiką, kuriame dalyvavo 90 proc.
voxpopuli_lit_006499	20191217-0900-PLENARY-lt_20191217-21:28:01_4	Ir negalima apsiriboti vien dar daugiau taisyklių sugriežtinimu, ir galbūt net nepraktišku sprendimu, ūkininkų interesus pažeidžiančiu, bet turime žiūrėti, kad tos taisyklės, kurios yra, jų būtų laikomasi. Paprastai daugiausiai žalos gyvūnų gerovei kelia ne pati kelionė, bet jos neigiami aspektai, ekstremali temperatūra,
voxpopuli_lit_006500	20150312-0900-PLENARY-12-lt_20150312-12:57:31_4	Minimalaus atlyginimo suvienodinimas leistų padėti spręsti konkurencijos, emigracijos problemas.
voxpopuli_lit_006501	20140114-0900-PLENARY-3-lt_20140114-09:49:11_7	Pirmininkavimas tai puiki proga pačios valstybės narės reklamai, jos vaidmens sustiprinimui Sąjungoje bei teigiamo valstybės kaip patikimos partnerės įvaizdžio pristatymui.
voxpopuli_lit_006502	20140205-0900-PLENARY-11-lt_20140205-16:18:13_5	Jei ES ir Rusija siektų strateginės partnerystės, nebūtų prireikę Euromaidano, o Ukrainos motinoms apverkti savo žuvusių vaikų.
voxpopuli_lit_006503	20191217-0900-PLENARY-lt_20191217-22:09:06_5	Sukūrus bendrą sistemą, kuri padėtų derinti sveikatos duomenų rinkimą bei išsaugojimą ir jų naudojimą Europos Sąjungoje, būtų gerinama teikiamų paslaugų kokybė, plėtojami moksliniai tyrimai, gerinamas duomenų prieinamumas.
voxpopuli_lit_006504	20150916-0900-PLENARY-17-lt_20150916-23:12:38_1	O tokia būtent ir yra lenkų tautinė mažuma Lietuvoje, gyvenanti tose žemėse nuo 700 metų.
voxpopuli_lit_006505	20150312-0900-PLENARY-12-lt_20150312-12:57:31_3	Antra, pranešime raginama mažinti minimalaus darbo užmokesčio skirtumus skirtingose šalyse bei surengti konferenciją Europos minimalaus darbo užmokesčio sistemos klausimais.
voxpopuli_lit_006506	20140116-0900-PLENARY-4-lt_20140116-10:33:52_1	d., Parlamentui balsuojant dėl kolegės Editos Estrelos siūlomos rezoliucijos, frakcijos „Laisvės ir demokratijos Europa vardu aš teikiau kitą projektą, kuriame akcentavau, kad tėvų teisė auklėti vaikus pagal savo religinius ar nereliginius įsitikinimus apima jų teisę atsisakyti bet kokio netinkamo valstybinių ar nevalstybinių veikėjų kišimosi į jų vaikų ugdymą.
voxpopuli_lit_006507	20150325-0900-PLENARY-15-lt_20150325-21:40:09_2	Tai yra ne tik vienos šalies kišimasis į kitų šalių socialinę politiką ir darbo klausimus.
voxpopuli_lit_006508	20150311-0900-PLENARY-3-lt_20150311-10:28:06_9	Geros Energetinės sąjungos, ponai, pigiai tikrai nesukursime.
voxpopuli_lit_006509	20150309-0900-PLENARY-13-lt_20150309-22:58:50_2	Šie pakeitimai naudingi vietos vežėjams.
voxpopuli_lit_006510	20190919-0900-PLENARY-lt_20190919-12:27:54_7	Todėl aš pritariu nuostatai, kad augalų veislės dalims, genams nebūtų galimybių suteikti patentus, kad patentų biuras turėtų aiškias gaires.
voxpopuli_lit_006511	20140113-0900-PLENARY-21-lt_20140113-22:20:25_5	Ir mūsų ekonominėje rinkoje nuolat vykstant pokyčiams, labai svarbu užtikrinti, jog nė viena socialinė grupė neliktų be socialinės apsaugos, dėl to ir raginu valstybes nares labiau stengtis didinti jaunimo užimtumą ir užtikrinti, kad jauni darbuotojai nebūtų diskriminuojami ribojant jų teises į socialinę apsaugą.
voxpopuli_lit_006512	20140114-0900-PLENARY-3-lt_20140114-10:34:33_8	Lietuvos pirmininkavimas ir buvo sėkmingas pirmiausiai todėl, kad jo metu Rytų kaimynystė tapo visaverte Europos Sąjungos darbotvarkės dalimi.
voxpopuli_lit_006513	20140114-0900-PLENARY-3-lt_20140114-10:03:41_4	Lietuvos pirmininkavimo metu patvirtinta Jaunimo garantijų iniciatyva bei švietimo ir mokslo programa Erasmus šiame kontekste yra labai svarbi, nes kartu pasiekėm, kad nedarbo problemos sprendime ypatingas dėmesys būtų skirtas jaunimo užimtumo didinimui.
voxpopuli_lit_006514	20191125-0900-PLENARY-lt_20191125-21:49:02_5	Tarp žuvusių du vos 17 kos metų amžiaus jaunuoliai Darius ir Ignas.
voxpopuli_lit_006515	20190918-0900-PLENARY-lt_20190918-18:30:17_7	Turime kovoti su augančia propaganda ir visomis neapykantos ir netolerancijos apraiškomis.
voxpopuli_lit_006516	20190403-0900-PLENARY-lt_20190403-16:29:54_25	Dabartinės Europos Sąjungos alternatyva tai grįžimas prie Europos Sąjungos kūrėjų ir jos tėvų esminių nuostatų lygiateisių ir savarankiškų valstybių bendrijos.
voxpopuli_lit_006517	20140114-0900-PLENARY-3-lt_20140114-09:49:11_13	Kova su autochtoninių tautinių mažumų kalbomis, palaikoma aukščiausios valdžios, yra ne kas kitas kaip kraštutinio nacionalizmo pasireiškimas, kurio neturėtų būti Europos Sąjungoje.
voxpopuli_lit_006518	20150908-0900-PLENARY-15-lt_20150908-19:25:50_5	Deja, skurdas vyresnio amžiaus žmonių tarpe per pastarąjį penkmetį kai kuriose ES šalyse išaugo, ir dėl to kyla pavojus tų žmonių tinkamai mitybai, sveikatai, pagaliau jie susiduria ir su energetiniu skurdu.
voxpopuli_lit_006519	20190919-0900-PLENARY-lt_20190919-12:32:53_3	Tačiau du tironai visas jas nubraukė, pasirašydami slaptuosius protokolus ir pasidalindami Europą, sukeldami žiauriausią Europos istorijoje karą.
