voxpopuli_hun_005557	20101215-0900-PLENARY-4-hu_20101215-11:37:27_2	Nagyon nagy viták voltak és nagyon sok jó javaslat került az asztalra.
voxpopuli_hun_005785	20090309-0900-PLENARY-12-hu_20090309-18:17:47_24	Felszólalásom végén megköszönöm mindenkinek a munkáját, akik ehhez a jelentéshez hozzájárultak, a Költségvetési Bizottság titkárságáét, a Bizottság tagjait, a frakció szakértőiét, a módosítások benyújtóiét.
voxpopuli_hun_005786	20131210-0900-PLENARY-4-hu_20131210-08:43:57_6	Sajnos azonban igen kevesen ismerik a tartalmát, illetve a lakosság több mint kétharmada félreértelmezi a charta hatókörét.
voxpopuli_hun_005787	20110926-0900-PLENARY-19-hu_20110926-22:39:12_0	A Foglalkoztatásügyi Bizottság véleményírójaként szeretném megköszönni a nagyszerű együttműködést a jelentéstevővel, aki azt a célt tűzte ki maga elé, hogy a kohéziós politikát körüljárja olyan szempontból, hogy hogy lehetne javítani, mik azok az akadályok, amik akadályozzák a jobb felhasználást, és mik azok a körülmények, amiken javítani kell mindenképpen,
voxpopuli_hun_005788	20130702-0900-PLENARY-11-hu_20130702-15:54:08_4	Nem mondaná e el azt az információt a plénumnak, amit talán nem mindenki tud, vagyis, hogy egy szocialista kormánynak volt a minisztere talán nem is annyira régen, és tagja volt a valamikori kommunista állampártnak, a Magyar Szocialista Munkáspártnak.
voxpopuli_hun_005789	20150128-0900-PLENARY-8-hu_20150128-17:54:52_1	Képviselő úrtól szeretném megkérdezni, hogy jól értettük e, hogy Ön komoly aggodalmakat fogalmaz meg ezzel az alappal kapcsolatban.
voxpopuli_hun_005790	20131210-0900-PLENARY-17-hu_20131210-18:41:36_1	Külön fontosnak tartom és örülök, hogy a demokrácia és az emberi jogok európai eszköze öt legfontosabb célja és prioritása között szerepel az EU s emberi jogi irányelvek gyakorlatba ültetésének finanszírozása.
voxpopuli_hun_005791	20091007-0900-PLENARY-12-hu_20091007-20:24:15_2	Én egy pozitív példát szeretnék említeni, mert az egész Európai Unió számára, egész Európa számára pozitív, hogy Szerbiában elfogadtak a kulturális autonómiáról egy olyan törvényt, amely egész Európában páratlan.
voxpopuli_hun_005792	20170316-0900-PLENARY-5-hu_20170316-10:57:50_0	Elfogadhatatlan helyzetet idézett elő Oroszország a Krím félszigeten a krími tatár közösség elleni szisztematikus támadásokkal, a kisebbségi közösség alapvető jogainak súlyos megsértésével, a Medzslisz betiltásával és az ukrán iskolák bezárásával.
voxpopuli_hun_005793	20091111-0900-PLENARY-18-hu_20091111-22:24:52_1	egy újabb falleomlásként illeszkedik a 20 évvel ezelőtt elkezdődött események sorába.
voxpopuli_hun_005794	20120510-0900-PLENARY-5-hu_20120510-09:37:14_9	Az ellenőrzésüknek meggyőződésünk szerint arányosnak kell lennie a költségvetésben bírt súlyukkal.
voxpopuli_hun_005795	20151006-0900-PLENARY-13-hu_20151006-19:01:12_2	A diktátort megölték, demokrácia helyett azonban anarchia következett.
voxpopuli_hun_005796	20100706-0900-PLENARY-13-hu_20100706-21:32:28_5	Támogatandó még az is, hogy alapelvként az élelmiszerbiztonságot és a fogyasztók biztonságát helyezi előtérbe a jelentés az eddigi szinte mindenekfeletti és mindenáron való, feltétel nélküli szabadkereskedelemmel szemben.
voxpopuli_hun_005797	20130207-0900-PLENARY-3-hu_20130207-09:48:32_4	Nem gondolom, hogy ajtóstól kellene menni a házba, nem gondolom, hogy adóharmonizációról kellene beszélni.
voxpopuli_hun_005798	20151215-0900-PLENARY-17-hu_20151215-23:11:59_1	A cél egyértelmű a belső piaci akadályok lebontása az akadálymentesítés érdekében.
voxpopuli_hun_005799	20101019-0900-PLENARY-3-hu_20101019-09:51:37_1	Az új testületnek természetesen költségvetésre van szüksége, ugyanakkor legalább ilyen fontos meghatározni és megfelelni a költségvetési alapelveknek, a pénzügyi szabályoknak a költségvetési és pénzügyi elszámoltathatóság miatt.
voxpopuli_hun_005800	20100614-0900-PLENARY-15-hu_20100614-21:52:51_2	Európai polgárok milliói gyors döntéseket várnak tőlünk.
voxpopuli_hun_005801	20150520-0900-PLENARY-3-hu_20150520-11:22:00_3	Hússzorosára nőtt néhány hónap alatt, és legnagyobb részük nem menekültjogi védelemre jogosult, hanem egyértelműen gazdasági bevándorló.
voxpopuli_hun_005802	20110323-0900-PLENARY-15-hu_20110323-21:03:38_2	Szeretném tájékoztatni Önöket, hogy a magyar elnökség adatvédelem iránti elkötelezettségét mi sem mutatja jobban, minthogy februárban a bel és igazságügyi tanácsi ülésén mintegy ötven pontból álló tanácsi következtetést fogadtunk el az adatvédelem témájában.
voxpopuli_hun_005803	20101020-0900-PLENARY-5-hu_20101020-11:34:59_1	Úgy gondolom, hogy az Európai Unió egy kicsit megkésve tudott választ adni a válság következményeire.
voxpopuli_hun_005804	20100907-0900-PLENARY-10-hu_20100907-17:50:11_4	Végül is úgy tűnik, hogy az idő, amely rendelkezésünkre állt, gazdagította a vitát, bár meg kell mondanom, hogy eredetileg is számos hasznos és jó javaslatot találtunk a Bizottság általi javaslatban.
voxpopuli_hun_005805	20131023-0900-PLENARY-4-hu_20131023-10:30:43_5	Az nem lehet, hogy miközben rövid távon forrásokat csökkentünk, azt várjuk, hogy ez a terület tartós növekedést mutasson fel.
voxpopuli_hun_005806	20140224-0900-PLENARY-22-hu_20140224-22:31:29_2	Biztos asszonyt pedig egy másik témában kérdezném, történetesen az osztrák rendőrség felháborító hozzáállásával összefüggésben.
voxpopuli_hun_005807	20150429-0900-PLENARY-4-hu_20150429-09:36:43_2	Mégis egy nagyon egyszerű dolgot, kérdést hadd tegyek fel Önnek.
voxpopuli_hun_005808	20110308-0900-PLENARY-15-hu_20110308-22:14:26_2	Sajnos politikánk e téren gyakran még azon az elképzelésen alapul, hogy a piacoknak saját magukat kell szabályozniuk.
voxpopuli_hun_005809	20100617-0900-PLENARY-9-hu_20100617-13:08:40_1	A folyók, kilépve medrükből ellepték utcáinkat, lakóházainkat.
voxpopuli_hun_005810	20101020-0900-PLENARY-5-hu_20101020-10:38:43_5	Az, hogy a nyomor és a szegénység egyre nagyobb, az egyenesen következik abból a neoliberális politikából, amit Önök tisztelet a kivételnek, akik ezt ellenezték folytattak, és ez a tendencia tovább fog folytatódni.
voxpopuli_hun_005811	20130312-0900-PLENARY-4-hu_20130312-09:41:57_3	Az új eljárási mód gyors és egyszerű, hiszen elkerülhetővé teszi a drága, költséges és nehézkes bírósági utat, éppen ezért reményeink szerint sokan veszik majd igénybe.
voxpopuli_hun_005812	20150128-0900-PLENARY-7-hu_20150128-16:50:58_2	és egy kicsi, átláthatatlan, ellenőrizhetetlen, óriási hatalommal rendelkező csoportnak adjanak a kezébe ellenőrzést a polgárok felett ezt nyilvánvalóan nem akarjuk.
voxpopuli_hun_005813	20151026-0900-PLENARY-17-hu_20151026-23:08:21_1	Különösen így van ez Magyarországon, ahol a közpénzből fönntartott állami televízió gátlástalanul hirdeti a kormány gyakran Európa ellenes, hazug propagandáját.
voxpopuli_hun_005814	20201021-0900-PLENARY-hu_20201021-12:24:05_10	Nincs ingyen ebéd.
voxpopuli_hun_005815	20140226-0900-PLENARY-19-hu_20140226-20:03:30_9	2. cikkének felsorolásában szerepel a kisebbségekhez tartozó személyek jogainak tiszteletben tartása is.
voxpopuli_hun_005816	20110512-0900-PLENARY-12-hu_20110512-16:14:47_3	Mindkét kérdésről a hátralévő egy egy percben hadd mondjak néhány további részletet ugye itt volt ez a kérdés a Lukasenko kormány tagjával kapcsolatban.
voxpopuli_hun_005817	20091007-0900-PLENARY-10-hu_20091007-16:51:13_2	Hogyan ítéli meg azt, hogy az osztrák kormányfő úgy gondolja, hogy most először népszavazást szeretne kiírni ebben a kérdésben?
voxpopuli_hun_005818	20120509-0900-PLENARY-19-hu_20120509-21:24:10_3	Kérdezem a szocialista, liberális frakciók vezetőit, akik oly látványosan és hangosan küzdenek ezekért a jogokért, sok esetben vélt jogsértésekért most mit tesznek majd pártcsaládjaikban a valós jogsértések ellen?
voxpopuli_hun_005819	20151028-0900-PLENARY-14-hu_20151028-18:34:33_5	Örülök azonban, hogy megemlítésre került a kkv, sőt annak a finanszírozási hiánya, ami most is még égető probléma.
voxpopuli_hun_005820	20110510-0900-PLENARY-14-hu_20110510-17:59:32_8	Tehát nem ugyanaz a kitettsége a Tanácsnak, mint intézménynek a lobbizásra, mint a Bizottságnak, vagy az Európai Parlamentnek.
voxpopuli_hun_005821	20101019-0900-PLENARY-10-hu_20101019-15:52:36_9	Ne játszanak a tagállamok két ellentétes megoldással.
voxpopuli_hun_005822	20110913-0900-PLENARY-12-hu_20110913-15:24:40_11	Tisztelt Ház!
voxpopuli_hun_005823	20100518-0900-PLENARY-13-hu_20100518-17:55:33_1	Lassan egy éve vagyok az Európai Parlament képviselője, és kezdem megszokni a megszokhatatlant, hogy minden egyes jelentésnek a vitája ugyanazon forgatókönyv szerint zajlik. A közel 800 képviselő közül itt ül a teremben 20 vagy 30 és vagyunk néhányan, akik még csak nem is kötelezettségünknél fogva vagyunk itt, hanem egyszerűen azért, mert nem pártfegyelem alapján akarunk szavazni, hanem belső meggyőződés és jólinformáltság alapján,
voxpopuli_hun_005824	20150609-0900-PLENARY-12-hu_20150609-15:59:52_3	Viszont nekünk meg felelősségünk van irántuk, ami azt jelenti, hogy főleg a transzatlanti vonatkozásban folytatott tárgyalások, a TTIP tárgyalások során bizony az ő érdekeikre is tekintettel kell lenni.
voxpopuli_hun_005825	20110406-0900-PLENARY-10-hu_20110406-15:02:07_39	Köszönöm szépen, Elnök Úr!
voxpopuli_hun_005826	20160914-0900-PLENARY-13-hu_20160914-18:45:40_7	A helyzet megváltoztatása és a kitoloncolások végrehajtása próbára fogják tenni a tagállamok hatóságait, mégis gyorsan döntésre kell jutni.
voxpopuli_hun_005827	20190311-0900-PLENARY-hu_20190311-21:51:51_3	Nem hagyhatjuk ugyanis figyelmen kívül az emberek Unióhoz intézett javaslatait.
voxpopuli_hun_005828	20180612-0900-PLENARY-hu_20180612-13:30:30_4	A jelentés megfogalmazása, a kötelező elvárások figyelmen kívül hagyják azt a tényt, hogy az oktatás egyébként nemzeti hatáskör.
voxpopuli_hun_005829	20101019-0900-PLENARY-15-hu_20101019-23:51:48_3	Őszintén reméljük, hogy a Bizottság valóban a szerződések, az Alapjogi Charta őreként lép fel, ha ez beigazolódik és kötelezettségszegési eljárást indít. A rendőrségnek nagy szerepe van a közrend fenntartásában, de megengedhetetlen, hogy az etnikai profilalkotás része legyen a rendőrségi gyakorlatnak.
voxpopuli_hun_005830	20150427-0900-PLENARY-11-hu_20150427-18:01:39_2	Szeretnék én is köszönetet mondani a jelentéstevőnek, mert nagyon jó munkát végzett.
voxpopuli_hun_005831	20170215-0900-PLENARY-13-hu_20170215-16:12:19_6	A mai Európában az az egyik legjobb dolog, hogy tulajdonképpen akadályok nélkül utazhatunk a tagállamok között.
voxpopuli_hun_005832	20110607-0900-PLENARY-4-hu_20110607-10:37:25_16	Tudjuk, hogy a Parlament egyetért velünk ebben.
voxpopuli_hun_005833	20110510-0900-PLENARY-14-hu_20110510-17:08:30_1	Az átláthatóság a demokratikus intézmények kiemelkedő fontosságú elve.
voxpopuli_hun_005834	20180911-0900-PLENARY-hu_20180911-15:31:21_25	Különbözőképpen gondolkodunk Európa keresztény jellegéről, a nemzetek és a nemzeti kultúrák szerepéről, másképpen fogjuk fel a család lényegét és hivatását, és homlokegyenest ellenkező nézeteket vallunk a migrációról.
voxpopuli_hun_005835	20200210-0900-PLENARY-hu_20200210-21:29:21_4	Tudjuk, hogy az Unió komoly versenyképességi problémákkal küzd.
voxpopuli_hun_005836	20191218-0900-PLENARY-hu_20191218-14:10:25_1	Öt éve ülök ezekben a padsorokban, és szomorúan tapasztalom, hogy nagyon keveset beszélünk európai szinten az európai polgárok egészségügyi ellátásáról.
voxpopuli_hun_005837	20121119-0900-PLENARY-21-hu_20121119-21:34:05_1	Egyre többen gondoljuk úgy, hogy az európai válságkezelés során az államadósságok leszorítása és a költségvetési hiánycélok teljesítése mellett túl kevés figyelmet fordítottunk a válság szociális következményeire.
voxpopuli_hun_005838	20151216-0900-PLENARY-9-hu_20151216-13:34:57_2	Ugyanakkor ma én nem tudtam támogatni, tartózkodnom kellett attól a szavazástól, amit a közös indítványban megtettek a frakciók, hiszen nem támogathatok olyan javaslatot, amely
voxpopuli_hun_005839	20110323-0900-PLENARY-14-hu_20110323-19:50:47_33	Ezek a kezdeményezések abból a megállapodásból következtek, melyet az Európai Tanács 2008 szeptemberében az európai bevándorlási és menekültügyi paktum kapcsán ért el. Nevezetesen, hogy önkéntes alapon előre lehet haladni az ENSZ Menekültügyi Főbiztosságának védelme alá helyezett személyeknek az Európai Unió területére történő letelepítésének útján.
voxpopuli_hun_005840	20101122-0900-PLENARY-19-hu_20101122-23:36:11_5	Ezért, hogy elinduljunk a civilek és a katonai erők együttműködésében, mindenképpen a Magyar Gárdához hasonló szervezetekben részt vevő egyéneket meg kell becsülni.
voxpopuli_hun_005841	20201021-0900-PLENARY-hu_20201021-12:48:22_18	És itt van most a lehetőség, hogy valamit jól csináljunk, hogy olyan célokat tűzzünk ki magunk elé, amelyek nem csupán arról szólnak, hogy a gazdasági mutatók javulnak arról is hanem arról szólnak, hogy az európai emberek élete javul, hiszen mi értelme van egy gazdaságot jól működtetni, ha nem azért, hogy az emberek jól, kiszámíthatóan és biztonságban élhessenek.
voxpopuli_hun_005842	20090202-0900-PLENARY-9-hu_20090202-17:43:14_6	Egy nappal később ugyanezen minisztérium államtitkára közölte, hogy a magyar kormány a schengeni alap hazai forrásaiból számolta el a vízágyúk beszerzését, ellentmondva az Európai Bizottságnak.
voxpopuli_hun_005843	20110406-0900-PLENARY-4-hu_20110406-11:48:39_35	És azért legyünk reálisak!
voxpopuli_hun_005844	20150908-0900-PLENARY-3-hu_20150908-10:41:28_3	a klónozás miatti genetikai diverzitás csökkenése, különböző genetikai zsákutcák problémája, technológiai függőségek, illetve főképpen etikai kérdések ami szintén nem utolsó kérdés.
voxpopuli_hun_005845	20110202-0900-PLENARY-10-hu_20110202-15:42:38_13	Szükségünk van arra, hogy kialakuljon a teljes belső energiapiac.
voxpopuli_hun_005846	20110118-0900-PLENARY-11-hu_20110118-17:46:24_2	Azt hiszem, kiválóan bemutatta azokat a pontokat, amelyekkel a legnehezebben küzdöttek meg mind a Tanácsban, mind ebben a Házban a vita résztvevői az elmúlt évek során, és annak is nagyon örülök, hogy a képviselők túlnyomó többsége egyetértését fejezte ki.
voxpopuli_hun_005847	20160512-0900-PLENARY-11-hu_20160512-13:04:54_3	Ahelyett, hogy kinyilvánít itt véleményt, vegyen részt a vizsgálóbizottság munkájában tevékenyen, nyújtson be módosító javaslatot, legyen ott annak az ülésén, s ne a plénumot használja arra, hogy kinyilatkoztatásokat tesz.
voxpopuli_hun_005848	20111130-0900-PLENARY-14-hu_20111130-20:42:22_13	A következő két olvasatra az érem másik oldala jutott az intézményközi vita.
voxpopuli_hun_005849	20171211-0900-PLENARY-19-hu_20171211-21:40:27_1	Mihály királyt a hatalomra jutó kommunisták. A romániai kommunista uralom kezdetét és végét jelentő két történelmi évforduló szolgáljon memento gyanánt arra nézve, hogy Románia népe szabadságban akar élni, és nem hagyja „ellopni a forradalmát.
voxpopuli_hun_005850	20151026-0900-PLENARY-17-hu_20151026-23:10:49_2	A menekültválság kapcsán összehívott vasárnapi uniós minicsúcsot követően azonban újra remény van arra, hogy a nemzeti gőg és a különutas politikák helyett végre együttműködés lesz a tagállamok között.
voxpopuli_hun_005851	20201006-0900-PLENARY-hu_20201006-16:53:37_3	Éppen ezért nem engedhetünk azokból a célokból, amelyekben hiszünk, és amelyekkel kézzelfogható eredményeket érhetünk el a következő években, évtizedekben.
voxpopuli_hun_005852	20110202-0900-PLENARY-10-hu_20110202-15:42:38_16	A szabályozás szintjén is van még tennivalónk.
voxpopuli_hun_005853	20091214-0900-PLENARY-9-hu_20091214-17:56:22_5	A végrehajtó intézkedésből az is kiderül, hogy mindenütt, akár húsz százalékon fölül, akár alul vannak, csak akkor használhatják a kisebbségi nyelvet, hogy ha egy harmadik személy, aki jelen van ebbe beleegyezik.
voxpopuli_hun_005854	20110707-0900-PLENARY-11-hu_20110707-15:47:18_0	Az Európai Unió lakosságának elsöprő többsége keresztény vallású.
voxpopuli_hun_005855	20191217-0900-PLENARY-hu_20191217-15:50:25_9	Én büszke európaiként és büszke európai magyarként két javaslattal élnék az ellopott pénzért feleljenek saját vagyonukkal a korrupt politikusok, az európai támogatásokat pedig adjuk közvetlenül a gazdáknak, az önkormányzatoknak, a civil szervezeteknek, tehát azoknak, akiknek eredetileg is szántuk ezeket a pénzeket.
voxpopuli_hun_005856	20110913-0900-PLENARY-3-hu_20110913-09:21:46_7	Természetesen fontos elemek azok, amelyek itt szóba kerültek a bíróságok tehermentesítése, a polgári perek időtartamának lerövidítése, a költségek kérdése és így tovább.
voxpopuli_hun_005857	20180207-0900-PLENARY-21-hu_20180207-22:07:10_2	Vannak olyan országok, ahol a jogvédők az életükkel játszanak akkor, amikor feltárják a jogsértéseket és védelmet biztosítanak az áldozatoknak.
voxpopuli_hun_005858	20121211-0900-PLENARY-14-hu_20121211-22:27:39_4	Például, hogy csak egyet említsek, az őshonos kisebbségek jogállását tekintve szükség lenne előrelépésre, mert hisz kettős mérce létezik a csatlakozó és a tagállamokkal szembeni elvárások tekintetében.
voxpopuli_hun_005859	20140224-0900-PLENARY-23-hu_20140224-22:38:52_11	S a kollégáim, amikor tárgyalnak a Tanáccsal, az Európai Bizottsággal, trialógusokat folytatnak, nagyon gyakran azt látják, hogy a Tanács megbánta azt, hogy a Lisszaboni Szerződésbe ilyen passzusokat tett be, hogy lehetőséget biztosított a Parlament számára az ellenőrzésre. Ez sokszor valóban így van, ugyanakkor azt gondolom, hogy az együttműködés keretében, és szerettük volna, hogyha ezt a jelentést nemcsak a Parlament fogadja el, hanem elfogadja a Tanács is a maga részéről, és kialakíthatunk végre egy olyan sztenderd eljárást, amelynek keretében nem minden egyes alkalommal újra kell
voxpopuli_hun_005860	20190130-0900-PLENARY-hu_20190130-23:40:41_4	Ennek részeképpen követeljük a magyar tanügyi autonómiát, a Marosvásárhelyi Orvosi és Gyógyszerészeti Egyetem eredeti formájában való helyreállítását.
voxpopuli_hun_005861	20110118-0900-PLENARY-5-hu_20110118-10:19:19_13	Azt, hogy saját akaratukból választották ezt az utat, ezt tekintem garanciának arra, hogy minden szükséges lépést Szerbia meg fog tenni.
voxpopuli_hun_005862	20120912-0900-PLENARY-3-hu_20120912-11:51:02_4	Sajnos a kép ennél sokkal sokkal árnyaltabb.
voxpopuli_hun_005863	20100614-0900-PLENARY-9-hu_20100614-17:59:29_6	Az európai költségvetés nem oka a problémának, hanem része a megoldásnak.
voxpopuli_hun_005864	20140114-0900-PLENARY-10-hu_20140114-18:20:07_4	Meggyőződésem, hogy a Bizottság javaslatai nem protekcionista intézkedések, hiszen a viszonosság elve alapján kínálnak együttműködést a piacok megnyitásában, illetve elérhetőségében.
voxpopuli_hun_005865	20110510-0900-PLENARY-17-hu_20110510-21:37:32_4	Mind a két esetben természetesen jó az egységes szabályrendszer.
voxpopuli_hun_005866	20110927-0900-PLENARY-3-hu_20110927-09:56:18_4	Ezúton szeretném Georgieva biztos asszonynak is megköszönni a segítséget, és egyben szeretném kérni a Házat, hogy ilyen kiváló munkát végző biztos asszony esetében tanuljuk meg helyesen ejteni a nevét Georgieva.
voxpopuli_hun_005867	20101018-0900-PLENARY-14-hu_20101018-22:51:05_3	De mindig csak azt mondják, hogy mi mindig csak tiltakozunk, mindenre azt mondjuk, hogy nem, nem, nem, hát itt egy olyan téma, a szabványosítás, amelyet mi is szeretnénk előmozdítani és támogatni, illetve arra is kérnék minden tagállamot, hogy a szabványosítást támogassa, illetve a képviselőtársaimat, pedig hogy ezt a jelentést, Kožušník úrnak a jelentését támogassák.
voxpopuli_hun_005868	20190130-0900-PLENARY-hu_20190130-18:19:25_9	Minek kell még történnie, hogy végre mindannyian, az EPP és az Európai Tanács is komolyan vegye azt a fenyegetést, amit Magyarország illiberalizálódása egész Európára jelent és fellépjen ellene?
voxpopuli_hun_005869	20110607-0900-PLENARY-4-hu_20110607-10:37:25_24	Tisztelt elnök úr!
voxpopuli_hun_005870	20110118-0900-PLENARY-4-hu_20110118-10:19:19_2	Egy kiváló jelentéshez kiváló észrevételek érkeztek, és azt, hogy milyen kiváló a jelentés, számomra az is bizonyítja, hogy az itt felemlegetett kérdések nagy része magában a jelentésben is megtalálható, tehát azt hiszem, hogy ez egy kiváló vitaalap volt.
voxpopuli_hun_005871	20091020-0900-PLENARY-13-hu_20091020-16:15:57_11	A Parlament olyan költségvetést szeretne, amely igennel felel ezekre a kérdésekre, és ebben az akaratában a Parlament meglehetősen egységes.
voxpopuli_hun_005872	20160609-0900-PLENARY-3-hu_20160609-10:06:01_2	Ehhez engedhetetlen, hogy a kutatásra és az oktatásra is nagyobb hangsúlyt fektessünk.
voxpopuli_hun_005873	20180228-0900-PLENARY-21-hu_20180228-20:54:54_3	Most kivételesen lebuktak, porszem esett a gépezetbe, de ez egy abszolút tipikus történet.
voxpopuli_hun_005874	20170202-0900-PLENARY-4-hu_20170202-10:42:47_3	Az Unió szavahihetősége a tét, ha a vízummentesség megadása tovább halogatódik, ez a térség felé rossz geopolitikai üzenetet közvetítene.
voxpopuli_hun_005875	20190717-0900-PLENARY-hu_20190717-11:43:01_1	Úgy gondolom, rendkívül fontos, hogy az EU klímavállalásait úgy határozzuk meg és úgy érjük el, hogy ez az Unió globális versenyképességét ne korlátozza, és ne járuljon hozzá a kibocsátások növekedéséhez a harmadik országokban sem.
voxpopuli_hun_005876	20151202-0900-PLENARY-6-hu_20151202-17:12:41_2	Vannak esetek, amikor a körforgásos gazdaság bizony nagyobb kárt tud okozni, mint előnyt.
voxpopuli_hun_005877	20190130-0900-PLENARY-hu_20190130-22:01:57_6	És ugyanígy a többi szakterületen és az oktatásban, lakhatásban, a foglalkoztatásban, az egészségügyben nagyon jó eredményeket lehet elérni.
voxpopuli_hun_005878	20100505-0900-PLENARY-13-hu_20100505-20:12:47_5	E vívmányok közül kiemelt figyelmet kell szentelnünk a regionális vagy kisebbségi nyelvek európai chartájának, és a nemzeti kisebbségek védelméről szóló keretegyezménynek, melyek az európai szellemiség, a sokféleség tiszteletben tartása és az Alapjogi Chartában megfogalmazott jogok jegyében lefektetik az őshonos nemzeti kisebbségek problémáira adandó válaszok minimumkövetelményeit.
voxpopuli_hun_005879	20111130-0900-PLENARY-14-hu_20111130-20:42:22_17	Úgy érezzük, hogy az út hosszú volt és mindannyian tudjuk, hogy minden kompromisszum lényege, hogy a felek többet kevesebbet feladnak az eredeti elképzeléseikből.
voxpopuli_hun_005880	20111115-0900-PLENARY-15-hu_20111115-22:11:21_8	És nagyon egyet tudok érteni azzal, hogy igenis használjuk fel munkahelyteremtésre, csak ez nagyon ambivalens, amikor a kultúráról, a turizmusról és a gazdaságról együtt beszélünk, és eközben az Európai Unió felszólítására pedig Magyarországon történelmi borvidékeken szőlőket vágatnak ki, almaültetvényeket vágatnak ki.
voxpopuli_hun_005881	20190917-0900-PLENARY-hu_20190917-10:13:31_10	Az EP részéről ennek a feladatnak az elvégzését szorosan nyomon kell követni, hiszen a tét a bolygónk jövője.
voxpopuli_hun_005882	20110912-0900-PLENARY-20-hu_20110912-21:55:52_2	A szennyezés elkerülésének költségét minden esetben az üzemeltetőnek és nem a közösségnek kell állnia.
