voxpopuli_spa_003785	20190918-0900-PLENARY-es_20190918-09:31:07_11	El actual responsable del caos tiene un nombre Boris Johnson.
voxpopuli_spa_004038	20091111-0900-PLENARY-13-es_20091111-17:44:03_6	por fin, el Parlamento Europeo decidiendo sobre la misma.
voxpopuli_spa_004039	20181024-0900-PLENARY-es_20181024-19:47:44_6	Algunas reservas identificar las motocicletas o intentar integrarlas en gran parte en las ciudades, sobre todo después de la gran crisis vivida, ha sido una buena alternativa, por una parte, para salvar la congestión, pero, sobre todo, también, para reducir los costes
voxpopuli_spa_004040	20131008-0900-PLENARY-12-es_20131008-16:06:47_6	Señora Comisaria, creo que, si queremos disponer de un sistema de ciencia e innovación europeo que sea fuerte y dinámico, ha llegado el momento de profundizar en la construcción del ERA, acudiendo también a la vía legislativa, y de superar así, de verdad, las barreras nacionales, legislativas y administrativas
voxpopuli_spa_004041	20191218-0900-PLENARY-es_20191218-09:19:19_15	No cometamos los errores del pasado.
voxpopuli_spa_004042	20181114-0900-PLENARY-es_20181114-20:30:33_6	Citando a Gorbachov, todo acuerdo para el desarme nuclear debe mantenerse para salvar la vida de la Tierra.
voxpopuli_spa_004043	20140225-0900-PLENARY-18-es_20140225-22:04:04_1	en particular al grupo de personas con discapacidad, sea física, mental, intelectual o sensorial.
voxpopuli_spa_004044	20170405-0900-PLENARY-4-es_20170405-10:20:37_21	Nos van a hacer daño a todos.
voxpopuli_spa_004045	20171002-0900-PLENARY-16-es_20171002-20:27:53_6	La violencia, el abuso de poder, las escaladas verbales o la utilización electoral de estos conflictos a costa de enconarlos no son un proyecto seductor.
voxpopuli_spa_004046	20110705-0900-PLENARY-13-es_20110705-22:24:08_13	Debe levantarse la restricción sobre los líquidos en cabina como muy tarde en abril de 2013, y me ha agradado escuchar la declaración que ha realizado el Comisario Kallas.
voxpopuli_spa_004047	20170406-0900-PLENARY-4-es_20170406-10:10:56_3	Pero lo que es fundamental es que de esas palabras se pase por fin a los hechos y que hagamos de la comunidad romaní un ejemplo no solamente de autocrítica, sino de aprendizaje permanente del compromiso de Europa con la promesa de la Unión Europea.
voxpopuli_spa_004048	20110705-0900-PLENARY-8-es_20110705-15:25:33_0	Señor Presidente del Parlamento, señor Presidente del Consejo, señor Presidente de la Comisión, Comisarios, Señorías, los ciudadanos europeos piden unidad institucional y claridad en el proyecto europeo.
voxpopuli_spa_004049	20100615-0900-PLENARY-4-es_20100615-10:47:56_6	Sí, pero algunos otros alimentos con algunas otras informaciones, como el lugar de origen, cuando no lleve a confusión, o, por ejemplo, en una carne decir el lugar de nacimiento, el lugar de paso, el lugar de pasto o el lugar de sacrificio de la res puede ilustrar mucho, pero va a acabar confundiendo.
voxpopuli_spa_004050	20191021-0900-PLENARY-es_20191021-21:51:00_10	Es necesario que existan mecanismos europeos, como el Fondo de Solidaridad de la Unión Europea, que den respuesta a estos problemas.
voxpopuli_spa_004051	20170316-0900-PLENARY-4-es_20170316-09:55:51_1	Condenamos la violencia y la represión de manifestaciones pacíficas, cualquier tipo de intimidación, acoso, arrestos arbitrarios y violencia contra activistas pro derechos humanos, la oposición, ONG y periodistas que hoy suceden en Zimbabue.
voxpopuli_spa_004052	20191217-0900-PLENARY-es_20191217-12:13:49_0	Señor presidente, en el mismo sentido que el señor Lamberts, esta es la casa de todos los europeos y europeas.
voxpopuli_spa_004053	20180912-0900-PLENARY-es_20180912-19:36:00_1	La ciudadanía de la Unión tiene una sensibilidad creciente sobre los efectos ambientales que produce este material, lo que favorece el necesario cambio de hábitos para avanzar en una revolución necesaria.
voxpopuli_spa_004054	20150609-0900-PLENARY-13-es_20150609-17:40:46_3	Es necesario cumplir con las cuotas mínimas de generación con carbón local y preparar las térmicas para una combustión más eficiente, y deben extenderse los Fondos Miner y los subsidios más allá de
voxpopuli_spa_004055	20151028-0900-PLENARY-4-es_20151028-10:48:19_4	y quiero mostrar mi apoyo explícito a estos compromisos recogidos en el acuerdo.
voxpopuli_spa_004056	20180301-0900-PLENARY-13-es_20180301-12:59:36_5	Hay que tapar las goteras de la fiscalidad con transparencia y con información actualizada en el corto plazo.
voxpopuli_spa_004057	20141113-0900-PLENARY-10-es_20141113-11:39:19_4	En el País Vasco solo ha existido y existe un conflicto armado de una parte, la de los terroristas asesinos de ETA que han matado a cientos de víctimas inocentes
voxpopuli_spa_004058	20130911-0900-PLENARY-10-es_20130911-18:40:30_1	Habrá retos, crisis y conflictos en regiones cercanas a la Unión que requerirán previsiblemente la actuación de la Unión Europea en esa dimensión de seguridad y defensa.
voxpopuli_spa_004059	20190717-0900-PLENARY-es_20190717-10:37:12_22	2030. Debemos plantearnos objetivos ambiciosos en materia de lucha contra la pobreza.
voxpopuli_spa_004060	20091123-0900-PLENARY-13-es_20091123-20:21:36_7	Por eso, tampoco podemos aceptar que el Consejo se vaya de rositas.
voxpopuli_spa_004061	20120312-0900-PLENARY-11-es_20120312-18:18:36_8	Y, finalmente, creo que también es bueno recordar que de esta crisis económica y financiera en la que estamos es necesario salir con propuestas no solamente verdes, sino que tengan también una visión de género que no solamente no discrimine sino que ayude a las mujeres a ocupar ese espacio social y laboral que hasta ahora no tienen.
voxpopuli_spa_004062	20191021-0900-PLENARY-es_20191021-21:13:33_5	Yo, por eso, quiero reivindicar esos programas.
voxpopuli_spa_004063	20171025-0900-PLENARY-24-es_20171025-20:46:40_3	Hoy desarrollo rima con despoblación, falta de gestión preventiva y de ordenación del territorio, y la Península Ibérica está sufriendo ahora mismo la peor sequía de los últimos veinte años ¿Qué
voxpopuli_spa_004064	20150210-0900-PLENARY-14-es_20150210-20:35:55_3	Las transnacionales europeas, nuestras empresas, producen allí a bajo coste y vienen aquí a tributar, pero hacen uso, allí, de las infraestructuras de aquellos países y, si una fábrica se quema, son los bomberos quienes van a apagar el incendio.
voxpopuli_spa_004065	20110119-0900-PLENARY-9-es_20110119-15:49:59_3	En muchos casos, la forma en la que nosotros actuamos hace que estén condenados a las páginas de sucesos en los medios de comunicación, como si fuesen algo externo, como si no fuesen un ataque contra nosotros, como si solamente sucedieran en el exterior, cuando, en realidad, estos atentados se producen en el corazón y contra el núcleo de nuestra civilización, de nuestra Europa.
voxpopuli_spa_004066	20120215-0900-PLENARY-3-es_20120215-09:47:48_4	Debe saberse que, mientras no se avance en la unión política y en el fortalecimiento de este Parlamento y del poder ejecutivo de la Comisión Europea, se reiterarán las cumbres, pero se agravará la crisis económica.
voxpopuli_spa_004067	20190312-0900-PLENARY-es_20190312-19:27:37_3	no podrá entrar en vigor sin el consentimiento final del Parlamento Europeo, porque esa es la regla del Tratado de Lisboa, que fortalece, como nunca antes, a este Parlamento Europeo como última palabra en los acuerdos internacionales negociados en nombre de la Unión Europea.
voxpopuli_spa_004068	20160623-0900-PLENARY-3-es_20160623-09:01:42_19	Igualmente, las renovables deben ser una oportunidad para aliviar la pobreza energética, adaptando las normas del mercado y ofreciendo garantías sociales para esos hogares que no pueden acceder a un derecho básico como es el de la energía.
voxpopuli_spa_004069	20110913-0900-PLENARY-4-es_20110913-10:40:38_4	Esta tragedia tiene una respuesta, necesita una respuesta más fuerte por parte de la Unión Europea y no habrá un buen sistema mientras estos países no consoliden su democracia y no se establezca un clima de cooperación con estos terceros países. Generar confianza es mucho más eficaz que continuar con nuestra Europa fortaleza, pero es evidente que esto va a tardar.
voxpopuli_spa_004070	20150609-0900-PLENARY-13-es_20150609-19:03:05_11	Pero lo mismo ocurre con las interconexiones en materia de gas no tenemos resueltas todas nuestras interconexiones en este momento.
voxpopuli_spa_004071	20110406-0900-PLENARY-11-es_20110406-17:30:47_4	un proceso de diálogo con los movimientos de oposición, con la sociedad civil, que hace falta la liberación inmediata de los presos políticos, de los periodistas y de los defensores de los derechos humanos y que hace falta, de manera inmediata, el levantamiento de los estados de emergencia.
voxpopuli_spa_004072	20100708-0900-PLENARY-3-es_20100708-10:13:51_9	Vamos a tener que hacer un cursillo para que los diputados comprendan que la tarjeta azul tiene determinada utilidad y que, para pedir la palabra en el catch the eye, se levanta la mano, se levanta la tarjeta blanca o se utiliza cualquier otro mecanismo, menos la tarjeta azul.
voxpopuli_spa_004073	20150128-0900-PLENARY-8-es_20150128-17:58:04_0	Señora Presidenta, el otro día nos quedamos un poco sorprendidos en su comparecencia en la Comisión de Economía, cuando nos dijo que no había en estos momentos ningún compromiso por parte de ningún Estado miembro para participar con dinero en el Fondo Juncker.
voxpopuli_spa_004074	20090205-0900-PLENARY-11-es_20090205-15:13:59_9	Un gesto de buena voluntad sería, por ejemplo, permitir la entrada en el norte de personal informativo y humanitario independiente.
voxpopuli_spa_004075	20091124-0900-PLENARY-10-es_20091124-17:01:17_12	Creo que la ciudadanía no comprendería que faltásemos a esa cita, y por eso pido el apoyo más amplio posible de esta Cámara para el informe que presentamos mañana y que debe votarse en esta sesión.
voxpopuli_spa_004076	20090401-0900-PLENARY-11-es_20090401-16:03:40_6	Con todo ello, la confianza en Rusia como socio europeo se ha deteriorado.
voxpopuli_spa_004077	20181002-0900-PLENARY-es_20181002-10:07:48_3	segundo, para saber qué medidas se pondrán en marcha para evitar que Gibraltar siga siendo una lavadora de dinero ilegal y un centro de evasión de capitales —un paraíso fiscal—
voxpopuli_spa_004078	20140415-0900-PLENARY-6-es_20140415-11:49:31_0	Señor Presidente, se está hablando esta mañana de costes o seguridad ―ambos son compatibles― y de vigilancia de productos y mercados, necesaria para garantizar la transposición y así reforzar la confianza y seguridad de los ciudadanos.
voxpopuli_spa_004079	20181022-0900-PLENARY-es_20181022-23:14:22_4	Ante todo esto, la Unión Europea no hace ni dice nada.
voxpopuli_spa_004080	20191022-0900-PLENARY-es_20191022-12:05:05_18	Los socialdemócratas hemos actuado con responsabilidad, defendiendo en todo momento el proyecto europeo, la democracia, el estado de Derecho y los derechos humanos.
voxpopuli_spa_004081	20150225-0900-PLENARY-10-es_20150225-20:48:09_6	Ahora Maduro ha detenido al alcalde de Caracas, acusándole de intento de golpe de Estado y, ayer mismo, un niño de catorce años murió en una manifestación.
voxpopuli_spa_004082	20151126-0900-PLENARY-6-es_20151126-11:36:12_4	¿Creemos que tenemos que seguir manteniendo las mismas condiciones?
voxpopuli_spa_004083	20140205-0900-PLENARY-3-es_20140205-09:55:59_2	La nueva norma facilita y simplifica los procedimientos de reclamación.
voxpopuli_spa_004084	20190312-0900-PLENARY-es_20190312-22:32:43_3	Pero estos también tienen que garantizar que las personas que llegan a Europa tengan recepción y asistencia adecuadas y acceso a procedimientos de asilo equitativos, legales y eficaces.
voxpopuli_spa_004085	20101214-0900-PLENARY-4-es_20101214-10:04:14_7	Tenemos la obligación de facilitar el acceso a la justicia a los ciudadanos europeos y, con más motivo, a las víctimas, que son las más vulnerables.
voxpopuli_spa_004086	20120611-0900-PLENARY-17-es_20120611-20:41:45_12	Apostamos por un cambio de enfoque de nuestra cooperación que consolide los logros económicos y sociales de América Latina
voxpopuli_spa_004087	20180312-0900-PLENARY-16-es_20180312-21:21:57_1	Esta Directiva va a mejorar la formación de los profesionales de la conducción en el transporte profesional y acercarla a sus necesidades de hoy en un sector que está en profunda transformación gracias a la evolución de los vehículos, las carreteras y la normativa.
voxpopuli_spa_004088	20200619-0900-PLENARY-es_20200619-10:01:58_6	La Amazonía podría considerarse, seguramente sin caer en un abuso retórico, como un recurso ambiental de toda la humanidad —seguramente como el Ártico y como pocos espacios más de esa escala—, pero es también y sobre todo un recurso de sus propios habitantes actuales, muchos de ellos indígenas y muchos de ellos también los que deberán vivir en Brasil en el futuro, y a ambos se les están expropiando sus derechos
voxpopuli_spa_004089	20100708-0900-PLENARY-4-es_20100708-10:37:50_0	Señor Presidente, hoy es un día de felicitaciones la primera de ellas, al Ministro de Asuntos Exteriores español, señor Moratinos, que ha conseguido traerse varios presos políticos cubanos a España, o está a punto de hacerlo
voxpopuli_spa_004090	20191218-0900-PLENARY-es_20191218-21:40:30_12	Por eso pueden perseguir esta práctica y a su vez oponerse al Convenio de Estambul, que es el único marco desde el que es posible acabar con ella.
voxpopuli_spa_004091	20100706-0900-PLENARY-3-es_20100706-10:45:30_42	Y si nos decidimos a avanzar con la Comisión en una unión económica mucho más sólida, más fuerte, con más política económica común, también lo hemos hecho.
voxpopuli_spa_004092	20171026-0900-PLENARY-4-es_20171026-11:10:51_3	la calidad y la cantidad de agua —poder de alguna manera parar el deterioro—
voxpopuli_spa_004093	20140313-0900-PLENARY-4-es_20140313-09:26:27_0	Señora Presidenta, 2014 puede ser el año en que la guerra de la caballa finalice.
voxpopuli_spa_004094	20150415-0900-PLENARY-16-es_20150415-20:55:48_4	Nos preocupa, evidentemente, que nuestros datos puedan estar en manos de un Estado con instituciones penetradas por el narcotráfico, de un Estado donde se vulneran los derechos humanos y con altos índices de impunidad.
voxpopuli_spa_004095	20140403-0900-PLENARY-3-es_20140403-09:36:08_8	La ayuda a Ucrania es una decisión política compartida, pero no debe ser a costa de otras políticas, particularmente de la política de desarrollo, ni de hipotecar presupuestos futuros de la Unión Europea, para el año 2016 concretamente.
voxpopuli_spa_004096	20100210-0900-PLENARY-8-es_20100210-15:13:23_7	la seguridad como garantía para un ejercicio pleno de la libertad.
voxpopuli_spa_004097	20110405-0900-PLENARY-13-es_20110405-22:14:43_3	Una de las condiciones para incluir a Groenlandia en el régimen de importaciones del mercado único es que acepte las normas sanitarias comunitarias, para lo que no hay el menor problema.
voxpopuli_spa_004098	20090401-0900-PLENARY-14-es_20090401-19:08:53_2	En el marco del Plan europeo de recuperación económica con medidas para estimular la inversión, la Comisión Europea adoptó una serie de propuestas con objeto de introducir cambios en los reglamentos de los Fondos estructurales y de cohesión, con dos prioridades claras la aceleración del gasto, para disponer de mayor liquidez, y la simplificación de las normas, para posibilitar una aplicación más rápida de los proyectos.
voxpopuli_spa_004099	20190130-0900-PLENARY-es_20190130-21:27:53_1	Desde este 27 de enero, el Banco Central español ha dejado de emitir billetes de 500 euros. Esta medida, que puede parecer atrabiliaria, es sin embargo también una medida para luchar contra el fraude, aunque por desgracia hay algunos países donde todavía se resiste.
voxpopuli_spa_004100	20160414-0900-PLENARY-6-es_20160414-11:15:40_0	Señora Presidenta, el asesinato de Berta Cáceres no llenó portadas, como no abre informativos la impunidad permanente en Honduras, que, tras el golpe de Estado al presidente democrático Manuel Zelaya, es hoy el país más violento del mundo.
voxpopuli_spa_004101	20120911-0900-PLENARY-23-es_20120911-20:02:41_2	Igualmente, ponemos de manifiesto la necesidad de tomar medidas frente a los que autorizan una pesca no sostenible, y todo ello lo hacemos dialogando, debatiendo y llegando a acuerdos.
voxpopuli_spa_004102	20201007-0900-PLENARY-es_20201007-09:38:48_5	Nos sumamos claramente a la petición de la ONU y del alto representante y pedimos un alto el fuego inmediato, el fin de las hostilidades, la vuelta a la mesa de la negociación en el marco del Grupo de Minsk sin precondiciones, como ya Armenia ha declarado que está dispuesta a hacer.
voxpopuli_spa_004103	20160510-0900-PLENARY-4-es_20160510-11:38:53_4	Por eso es necesaria una política de crecimiento económico, un crecimiento sostenible, inclusivo, que sea un verdadero pacto entre Estados
voxpopuli_spa_004104	20180313-0900-PLENARY-17-es_20180313-20:49:40_8	Este es el Parlamento del Premio Sájarov en favor de la libertad de expresión, que tantas veces ha galardonado a ciudadanos cubanos —tres veces, si recuerdo bien—.
voxpopuli_spa_004105	20170118-0900-PLENARY-20-es_20170118-20:23:24_17	También son valores europeos el humanismo, la redistribución y la solidaridad, principios completamente ajenos a la avaricia y a la especulación.
voxpopuli_spa_004106	20180912-0900-PLENARY-widetrim-es_20180912-16:01:58_1	Es preciso recordar que las pensiones están relacionadas con el empleo, con buenos salarios, estable y con derechos. Por eso hay que terminar con la precariedad, la temporalidad, los contratos de hora cero que sufren los jóvenes.
voxpopuli_spa_004107	20120704-0900-PLENARY-14-es_20120704-19:25:55_1	Efectivamente, la línea de desmilitarización del conflicto es la línea que están siguiendo ahora todos los países, con la intención de evitar esta guerra que ya se está produciendo.
voxpopuli_spa_004108	20181001-0900-PLENARY-es_20181001-21:09:07_5	Quiero recordar que el año pasado este Parlamento elaboró una Resolución sobre el papel de las mujeres en las áreas rurales en la que se dice que se debe hacer realidad la transversalidad de género en todas las políticas, también en el desarrollo rural.
voxpopuli_spa_004109	20140916-0900-PLENARY-15-es_20140916-18:54:46_2	Y, si somos exigentes y ambiciosos con el proyecto europeo —y, desde luego, yo lo soy—, si queremos más Europa, necesitamos crecimiento.
voxpopuli_spa_004110	20150519-0900-PLENARY-15-es_20150519-20:56:26_7	Esta revisión de los procedimientos de insolvencia y las recomendaciones de la Comisión marcan principios muy claros que deben cumplir todos los Estados miembros y que deben aplicarse también a los deudores individuales.
voxpopuli_spa_004111	20131211-0900-PLENARY-18-es_20131211-20:42:52_3	Pero ahora hay un nuevo sistema, hay una tarjeta por puntos —ha dicho ahora la Comisión. La verdad es que no entendemos por qué la Comisión improvisa de esta manera.
voxpopuli_spa_004112	20101214-0900-PLENARY-4-es_20101214-10:54:40_1	Lo acaba de denunciar el europeo de mujeres en el Parlamento se habla de buenas prácticas, se habla de coordinación, pero nos queda todavía un largo camino por recorrer.
voxpopuli_spa_004113	20190403-0900-PLENARY-es_20190403-18:28:29_17	No queremos financiar vacaciones para los pescadores, pero queremos compensarles por la pérdida de sus ingresos en caso de que la pesca se detenga temporalmente.
voxpopuli_spa_004114	20170404-0900-PLENARY-18-es_20170404-19:00:18_3	El Libro Verde de la Comisión Europea sobre el cambio demográfico dice que Europa es el único continente que va a perder población en términos netos de aquí al año 2035, aproximadamente 30 millones de personas.
voxpopuli_spa_004115	20151124-0900-PLENARY-3-es_20151124-10:56:04_6	De lo contrario, nuestra industria se verá perjudicada por unos costes que le restarán competitividad en un mundo globalizado.
voxpopuli_spa_004116	20131120-0900-PLENARY-16-es_20131120-15:02:56_14	La nueva prioridad Difundir la excelencia y ampliar la participación contribuirá a abrir el programa a un número mayor de participantes.
voxpopuli_spa_004117	20190313-0900-PLENARY-es_20190313-22:18:16_1	Por eso reconozco una cuando la veo.
