M-AILABS_rus_000209	oblomov_s000381	Следовательно, нет причины, чтоб вы знали про меня все, что знает Андрей Иваныч, - договорил он.
M-AILABS_rus_000624	argentinetz_s000962	ГЛАВА тридцать. ВОЕННЫЙ ПЕРЕВОДЧИК
M-AILABS_rus_000625	argentinetz_s002550	Делаем роспись, - наконец сказал он, снимая очки.
M-AILABS_rus_000626	oblomov_s000936	а теперь производило в ней почему-то тоску и отвращение.
M-AILABS_rus_000627	mnogo_shuma_iz_nichego_s001911	Леонато.
M-AILABS_rus_000628	chetvero_nischih_s000060	Точно свистнул. И пошло - Ю-ю.
M-AILABS_rus_000629	oblomov_s001830	Что ж я тебе скажу? - задумчиво говорил он. - Может быть, в тебе проговаривается еще нервическое расстройство: тогда доктор, а не я, решит, что с тобой.
M-AILABS_rus_000630	oblomov_s002595	Ах, батюшка, Андрей Иваныч! Что ж делать? - тяжело вздохнув, начал Захар.
M-AILABS_rus_000631	argentinetz_s003701	Не сразу, но постепенно всё встанет на свои места. Я ведь тоже очень любила своего мужа. Его убил студент-террорист: в те годы покушения на важных чиновников шли одно за другим.
M-AILABS_rus_000632	oblomov_s000059	Забыл друга своего барина, Штольца, - упрекнул Штольц.
M-AILABS_rus_000633	falshiviy_kupon_s000145	Глава XIII
M-AILABS_rus_000634	oblomov_s006612	Нет, ты вот теперь лжешь, да неискусно. Что у тебя? Что с тобой, Илья? А!
M-AILABS_rus_000635	argentinetz_s002539	Ювелир надел тёмные очки и жестом подозвал Клима. Будете писать пулю?
M-AILABS_rus_000636	oblomov_s001153	Здесь, может быть, Ольга невольно выдала бы свою тайну, если б не подоспела на помощь тетка.
M-AILABS_rus_000637	mnogo_shuma_iz_nichego_s000398	Борахио.
M-AILABS_rus_000638	oblomov_s006285	Но, видно, это было неизбежно: зато как я покоен теперь и. как счастлив! - с упоением прибавил он.
M-AILABS_rus_000639	argentinetz_s003622	сказала она Климу, когда с формальностями было покончено.
M-AILABS_rus_000640	oblomov_s006957	Не замай! Не замай! - закричали многие. - Почем знать, какой он: ишь, не бает ничего; может быть, какой-нибудь такой. Не задайте его, ребята!
M-AILABS_rus_000641	strashnaya_minuta_s000788	Болезни служили особенно излюбленным предметом разговора. О них он говорил с видимой любовью, громко, подробно и невыносимо скучно, говорил со всяким желающим и нежелающим слушать,
M-AILABS_rus_000642	oblomov_s000225	Захар отвернулся и смотрел в стену.
M-AILABS_rus_000643	argentinetz_s002040	Товарищ Другов - в своём роде герой, - произнёс Антон Эмильевич. - Он был одним из зачинщиков бунта в шестьдесят втором полку. Вылечившихся после ранений солдат насильно сажали на поезда,
M-AILABS_rus_000644	oblomov_s004045	Как вышел срок - за отличие, так и представляет; кому не вышел срок к чину, к кресту, - деньги выхлопочет.
M-AILABS_rus_000645	jizn_gnora_s000931	тень лошади перебирала ногами.
M-AILABS_rus_000646	oblomov_s007950	Он не ужинал и вот уже две недели не знает, что значит прилечь днем.
M-AILABS_rus_000647	argentinetz_s000570	Через час она крадучись подобралась к его комнате и заглянула внутрь.
M-AILABS_rus_000648	sulamif_s000436	Прежний алтарь так и остался неприкосновенным в своей первоначальной суровой простоте, вместе со множеством маленьких покоев, окружавших его и служивших для сохранения сокровищ,
M-AILABS_rus_000649	oblomov_s006794	после трех-четырех лет замужества.
M-AILABS_rus_000650	oblomov_s002962	Ну, так не скажу, - сказала она.
M-AILABS_rus_000651	argentinetz_s000938	Кони падали без сил и даже не пытались подняться. Саблин, сам забрызганный грязью до плеч, подходил к санитарам, столпившимся вокруг лошади. Бока её тяжело вздымались, уши дергались.
M-AILABS_rus_000652	oblomov_s008471	Любила она музыку, но пела чаще втихомолку, или Штольцу, или какой-нибудь пансионной подруге; а пела она, по словам Штольца, как ни одна певица не поет.
M-AILABS_rus_000653	sulamif_s000481	В храме Изиды на горе Ватн-эль-Хав только что отошла первая часть великого тайнодействия, на которую допускались верующие малого посвящения. Очередной жрец - древний старец в белой одежде,
M-AILABS_rus_000654	mnogo_shuma_iz_nichego_s002318	Хорошо, что не я перед ним: дураков и без того много родится. Вот граф Клавдио, за которым вы меня посылали.
M-AILABS_rus_000655	argentinetz_s000220	Направляясь к Любочке, Нина ждала, что та будет им сочувствовать и восхищаться их мужеством и стойкостью, а она смотрела на них с Климом как на глупцов,
M-AILABS_rus_000656	falshiviy_kupon_s000967	Пошел вон, шалопай. Вон.
M-AILABS_rus_000657	strashnaya_minuta_s000856	В жизни же он имел вид томно-покровительственный и любил с таинственным, небрежным видом намекать на свои связи с необыкновенно красивыми, страшно богатыми,
M-AILABS_rus_000658	oblomov_s001013	Он опять поглядел в зеркало. Этаких не любят! - сказал он.
M-AILABS_rus_000659	oblomov_s008139	На пятый день они не обедали дома.
M-AILABS_rus_000660	argentinetz_s002722	Она записала рецепт тортийи и внесла Клима в реестр. Заходите вечером, я вас вашим блюдом угощу.
M-AILABS_rus_000661	oblomov_s004877	Об эту пору они всегда приходят. - говорила она, слушая его рассеянно.
M-AILABS_rus_000662	oblomov_s003364	чепец тоже со вкусом сделан, и ленты прибраны кокетливо к ее почти пятидесятилетнему, но еще свежему лицу. На цепочке висит золотой лорнет.
M-AILABS_rus_000663	mnogo_shuma_iz_nichego_s000463	Кисель.
M-AILABS_rus_000664	oblomov_s003009	Ты и Затертый были свидетелями, вы и в ответе!
M-AILABS_rus_000665	mnogo_shuma_iz_nichego_s001259	Это адская Ате в модной юбке. Хоть бы какой-нибудь колдун заговорил нас от нее! Покамест она здесь, в преисподней живется спокойно, как в церкви, и люди нарочно грешат, потому что им хочется туда попасть.
M-AILABS_rus_000666	oblomov_s006245	Что ж ты сказал?
M-AILABS_rus_000667	oblomov_s001731	да, может быть, к тому времени придет и ответ из деревни.
M-AILABS_rus_000668	chetvero_nischih_s000776	Так и случилось с Ваней Андруцаки.
M-AILABS_rus_000669	mnogo_shuma_iz_nichego_s001315	Правда, а с чужими им связываться нечего. По улицам не шуметь, часовой не должен болтать, - это субординация, вещь непозволительная.
